,scrooge,bob,marley,cratchit,tiny tim,joe,peter,fezziwig,martha,bob cratchit
scrooge,0.0,15.976836544563824,1.7792549796506627,27.221773138873157,19.73204870297789,75.70997858632553,27.26904114990919,33.00764744754767,63.119087103437664,11.133964388379344
bob,15.976836544563824,0.0,666.685636731689,5.096777571422073,4.471735679522375,180.99322577997052,11.612875929931699,548.8614509997941,17.78710681899266,8.413894334228631
marley,1.7792549796506627,666.685636731689,0.0,708.1623389843593,903.847358156928,1257.8265377128564,1161.2131644262952,549.3393831968041,1169.388374273034,1448.8676717114536
cratchit,27.221773138873157,5.096777571422073,708.1623389843593,0.0,36.68209228391905,342.30476919489905,79.832638628565,557.6454331034076,17.7860818393201,48.33421035373187
tiny tim,19.73204870297789,4.471735679522375,903.847358156928,36.68209228391905,0.0,368.26453078659864,98.5162523489093,601.5833192381552,29.3115312121879,18.420897667879316
joe,75.70997858632553,180.99322577997052,1257.8265377128564,342.30476919489905,368.26453078659864,0.0,271.5954271721649,1320.4380629198379,909.4746579363921,663.9366624751262
peter,27.26904114990919,11.612875929931699,1161.2131644262952,79.832638628565,98.5162523489093,271.5954271721649,0.0,995.5764107619065,352.8860971120893,107.30878918891372
fezziwig,33.00764744754767,548.8614509997941,549.3393831968041,557.6454331034076,601.5833192381552,1320.4380629198379,995.5764107619065,0.0,654.128948145217,1184.324197207434
martha,63.119087103437664,17.78710681899266,1169.388374273034,17.7860818393201,29.3115312121879,909.4746579363921,352.8860971120893,654.128948145217,0.0,428.3731612103181
bob cratchit,11.133964388379344,8.413894334228631,1448.8676717114536,48.33421035373187,18.420897667879316,663.9366624751262,107.30878918891372,1184.324197207434,428.3731612103181,0.0
