,scrooge,bob,marley,cratchit,tiny tim,joe,peter,fezziwig,martha,bob cratchit
scrooge,0.0,33.41406209430552,2.993229840667555,59.26577956298391,44.093332324886006,175.23842547904152,63.04316502202484,73.0824509061335,148.04854443609813,26.4281565087868
bob,33.41406209430552,0.0,1343.4851475273492,11.06235663100844,10.080424961797148,421.2213577566274,26.64054123354822,1240.8415289876446,41.76161513326184,20.220154426120722
marley,2.993229840667555,1343.4851475273492,0.0,1451.05536325296,1923.253715509002,2747.7264966316825,2540.0395690047085,1175.8778010907656,2648.8295885800007,3322.878368288996
cratchit,59.26577956298391,11.06235663100844,1451.05536325296,0.0,83.35073362914063,783.155486358894,183.12755522347607,1261.1093911386768,41.78676810059221,118.6104939066324
tiny tim,44.093332324886006,10.080424961797148,1923.253715509002,83.35073362914063,0.0,844.8717846662067,227.4436220685183,1362.6589293165325,68.88920543043018,44.35235896895469
joe,175.23842547904152,421.2213577566274,2747.7264966316825,783.155486358894,844.8717846662067,0.0,628.1299859044782,3056.0344262503777,2179.0518603824257,1606.6937722380171
peter,63.04316502202484,26.64054123354822,2540.0395690047085,183.12755522347607,227.4436220685183,628.1299859044782,0.0,2289.6712913588094,841.2858781972716,259.72434806808945
fezziwig,73.0824509061335,1240.8415289876446,1175.8778010907656,1261.1093911386768,1362.6589293165325,3056.0344262503777,2289.6712913588094,0.0,1507.1703987559831,2781.152686481461
martha,148.04854443609813,41.76161513326184,2648.8295885800007,41.78676810059221,68.88920543043018,2179.0518603824257,841.2858781972716,1507.1703987559831,0.0,1029.1611176276617
bob cratchit,26.4281565087868,20.220154426120722,3322.878368288996,118.6104939066324,44.35235896895469,1606.6937722380171,259.72434806808945,2781.152686481461,1029.1611176276617,0.0
