,richard,george,jarndyce,guppy,snagsby,bucket,tulkinghorn,charley,ada,bagnet
richard,0.0,157.1670899423763,69.34031871692383,110.04620431506174,128.45514274889484,356.20543552178805,98.50239415726334,218.8792536365816,8.487822122234576,247.43037876976442
george,157.1670899423763,0.0,430.44326327403473,188.8976408556741,226.45098523042068,283.6006319884871,228.87230437581385,169.7830977499721,392.63632847937083,35.70568885483556
jarndyce,69.34031871692383,430.44326327403473,0.0,230.93105017010635,235.51336971652722,925.1443205831268,181.1195231499617,449.62591566214803,29.307726612957545,641.2053851240647
guppy,110.04620431506174,188.8976408556741,230.93105017010635,0.0,144.21816914702572,759.1658936259789,179.75960768975554,169.07403675125803,209.04195616611722,373.51944304926974
snagsby,128.45514274889484,226.45098523042068,235.51336971652722,144.21816914702572,0.0,1029.460191473126,158.01209173457482,289.8152588253863,191.50096023553365,613.553052383669
bucket,356.20543552178805,283.6006319884871,925.1443205831268,759.1658936259789,1029.460191473126,0.0,1046.427951611344,921.6155441389997,1301.3558228478178,447.66417725559523
tulkinghorn,98.50239415726334,228.87230437581385,181.1195231499617,179.75960768975554,158.01209173457482,1046.427951611344,0.0,350.8861704503913,235.30342819171463,421.1033439748709
charley,218.8792536365816,169.7830977499721,449.62591566214803,169.07403675125803,289.8152588253863,921.6155441389997,350.8861704503913,0.0,575.7260847849838,471.2086502257013
ada,8.487822122234576,392.63632847937083,29.307726612957545,209.04195616611722,191.50096023553365,1301.3558228478178,235.30342819171463,575.7260847849838,0.0,946.2784950979589
bagnet,247.43037876976442,35.70568885483556,641.2053851240647,373.51944304926974,613.553052383669,447.66417725559523,421.1033439748709,471.2086502257013,946.2784950979589,0.0
