,micawber,peggotty,dora,copperfield,agnes,traddles,murdstone,dick,steerforth,wickfield
micawber,0.0,102.81604091332879,60.63884966023043,25.429179251848705,33.56052511767451,18.33599280277467,128.1291725256205,37.23005011836085,96.8417161084334,47.96833340141389
peggotty,102.81604091332879,0.0,199.3554507667589,71.98920004348555,132.14786111645662,124.43400201630071,25.891563754683084,81.16717364032172,41.73593946619998,114.9260301908713
dora,60.63884966023043,199.3554507667589,0.0,117.69789165884627,82.34682520086189,72.07421107207445,550.6642399521008,167.257389392395,441.4065448000405,195.88968468528836
copperfield,25.429179251848705,71.98920004348555,117.69789165884627,0.0,43.07757922895116,40.92897744077895,261.29561032812376,77.69252024138513,66.8286546368461,40.11740641156217
agnes,33.56052511767451,132.14786111645662,82.34682520086189,43.07757922895116,0.0,39.022179960488096,441.40992718442806,96.1769490140115,175.35917289387115,45.76539077262449
traddles,18.33599280277467,124.43400201630071,72.07421107207445,40.92897744077895,39.022179960488096,0.0,701.6004200841389,281.1095243999846,449.3630933808788,184.63639182100073
murdstone,128.1291725256205,25.891563754683084,550.6642399521008,261.29561032812376,441.40992718442806,701.6004200841389,0.0,400.10562445787224,185.49549545755787,421.9102778973003
dick,37.23005011836085,81.16717364032172,167.257389392395,77.69252024138513,96.1769490140115,281.1095243999846,400.10562445787224,0.0,216.1794561125785,59.76269139401755
steerforth,96.8417161084334,41.73593946619998,441.4065448000405,66.8286546368461,175.35917289387115,449.3630933808788,185.49549545755787,216.1794561125785,0.0,324.4481843131851
wickfield,47.96833340141389,114.9260301908713,195.88968468528836,40.11740641156217,45.76539077262449,184.63639182100073,421.9102778973003,59.76269139401755,324.4481843131851,0.0
