,micawber,peggotty,dora,copperfield,agnes,traddles,murdstone,dick,steerforth,wickfield
micawber,0.0,54.6866225038584,28.623436683018234,12.489250271548974,15.755391473935473,8.324581090020738,65.71931802650552,17.343841880321527,45.32627893485354,21.763937070375384
peggotty,54.6866225038584,0.0,98.64898924316132,35.445638107564875,63.47033436595439,56.44493618329423,13.25974716856429,37.866231732913285,19.19172252188238,51.946113927293965
dora,28.623436683018234,98.64898924316132,0.0,57.114626723718935,38.7717828032929,32.54450214601915,265.92613971590384,77.5069621607026,200.07283073508893,88.35032767793349
copperfield,12.489250271548974,35.445638107564875,57.114626723718935,0.0,20.163131533371164,18.319962532186548,129.5239864883406,36.16443237020729,31.250099477102157,18.43186183967932
agnes,15.755391473935473,63.47033436595439,38.7717828032929,20.163131533371164,0.0,17.753068715094173,215.4643531720845,44.67545082756662,80.94414092371706,20.951286123597882
traddles,8.324581090020738,56.44493618329423,32.54450214601915,18.319962532186548,17.753068715094173,0.0,333.9809807370536,128.55691571365674,202.31618462708167,83.7683473249595
murdstone,65.71931802650552,13.25974716856429,265.92613971590384,129.5239864883406,215.4643531720845,333.9809807370536,0.0,190.09032689911504,86.51751156742027,192.982000523531
dick,17.343841880321527,37.866231732913285,77.5069621607026,36.16443237020729,44.67545082756662,128.55691571365674,190.09032689911504,0.0,99.93234963780536,26.63498500139559
steerforth,45.32627893485354,19.19172252188238,200.07283073508893,31.250099477102157,80.94414092371706,202.31618462708167,86.51751156742027,99.93234963780536,0.0,147.17757952792775
wickfield,21.763937070375384,51.946113927293965,88.35032767793349,18.43186183967932,20.951286123597882,83.7683473249595,192.982000523531,26.63498500139559,147.17757952792775,0.0
