,joe,herbert,estella,jaggers,biddy,wemmick,pip,havisham,pumblechook,wopsle
joe,0.0,50.34704167488551,32.38204528660599,29.236915166003623,4.950578838626463,37.70345240968545,18.237041007939048,15.820353082257093,3.0372784179162315,6.8667811370492196
herbert,50.34704167488551,0.0,42.832203092470394,23.91197649982968,85.66105637684629,10.678507878380232,38.72571107532244,77.32735640787072,193.8371372432625,187.32584470682175
estella,32.38204528660599,42.832203092470394,0.0,33.66956945390861,50.70090416573054,30.37386067576952,14.142450901884306,12.77091802322082,78.66966910837144,51.73713223591157
jaggers,29.236915166003623,23.91197649982968,33.66956945390861,0.0,68.92409667128571,12.71691425145964,23.92608757387893,46.956761091230405,137.53549023573981,112.44562652338631
biddy,4.950578838626463,85.66105637684629,50.70090416573054,68.92409667128571,0.0,87.76231597120628,46.829060682581414,46.98223653457559,45.384287591554106,61.96596082234311
wemmick,37.70345240968545,10.678507878380232,30.37386067576952,12.71691425145964,87.76231597120628,0.0,34.57884909824774,71.31331833814964,180.16444349648083,165.55353499004303
pip,18.237041007939048,38.72571107532244,14.142450901884306,23.92608757387893,46.829060682581414,34.57884909824774,0.0,36.06043850418219,83.45627964462174,62.42911321811427
havisham,15.820353082257093,77.32735640787072,12.77091802322082,46.956761091230405,46.98223653457559,71.31331833814964,36.06043850418219,0.0,49.908957895062464,35.58516211382119
pumblechook,3.0372784179162315,193.8371372432625,78.66966910837144,137.53549023573981,45.384287591554106,180.16444349648083,83.45627964462174,49.908957895062464,0.0,42.68835904619385
wopsle,6.8667811370492196,187.32584470682175,51.73713223591157,112.44562652338631,61.96596082234311,165.55353499004303,62.42911321811427,35.58516211382119,42.68835904619385,0.0
