,joe,herbert,estella,jaggers,biddy,wemmick,pip,havisham,pumblechook,wopsle
joe,0.0,208.67250732123492,139.13425687009118,129.24600740602716,19.999872828398953,169.78256186948497,84.76879481656246,71.7908518176633,12.769976243991252,32.60889803736639
herbert,208.67250732123492,0.0,175.07167839924676,101.17392980341747,358.25072596769144,46.54542043329106,161.51556006644154,326.2445470116217,850.641564874044,827.7984098578014
estella,139.13425687009118,175.07167839924676,0.0,142.60171533051425,209.82457825636016,132.93214994774019,60.11875488260082,52.58797448690053,333.9369459713886,216.90366189316708
jaggers,129.24600740602716,101.17392980341747,142.60171533051425,0.0,289.1528690894772,55.25410868941515,99.30980483193024,193.74879609115175,591.011864648463,477.8759781679758
biddy,19.999872828398953,358.25072596769144,209.82457825636016,289.1528690894772,0.0,370.33332074355974,201.3348646613509,204.29665738982513,181.09746406920374,264.03452474535067
wemmick,169.78256186948497,46.54542043329106,132.93214994774019,55.25410868941515,370.33332074355974,0.0,143.91668905748054,299.86264251087147,786.5248784200651,724.5886123474831
pip,84.76879481656246,161.51556006644154,60.11875488260082,99.30980483193024,201.3348646613509,143.91668905748054,0.0,152.38823689567343,355.54258165349484,263.32106880829787
havisham,71.7908518176633,326.2445470116217,52.58797448690053,193.74879609115175,204.29665738982513,299.86264251087147,152.38823689567343,0.0,211.62433499894516,146.1539147514855
pumblechook,12.769976243991252,850.641564874044,333.9369459713886,591.011864648463,181.09746406920374,786.5248784200651,355.54258165349484,211.62433499894516,0.0,193.89851499199676
wopsle,32.60889803736639,827.7984098578014,216.90366189316708,477.8759781679758,264.03452474535067,724.5886123474831,263.32106880829787,146.1539147514855,193.89851499199676,0.0
