,bounderby,sparsit,louisa,gradgrind,tom,rachael,stephen,sissy,harthouse,bitzer
bounderby,0.0,7.1301329890104945,5.62684535053745,8.37234165909041,5.92304233658296,17.462312478529714,14.592165770750219,13.25718201681371,3.655242929099779,19.39819634975398
sparsit,7.1301329890104945,0.0,28.59495506651722,76.63976478256423,22.336796065059946,66.52753724779271,64.33170823564252,50.82577968696852,37.67061526020614,17.796325510003282
louisa,5.62684535053745,28.59495506651722,0.0,45.894046230089465,26.683230692420903,40.60863299986462,60.66577813426058,10.520577352535655,77.284408393318,51.63182377159476
gradgrind,8.37234165909041,76.63976478256423,45.894046230089465,0.0,69.17108622913385,57.85312165384584,114.36256261175004,21.48551376735395,173.0464350357943,36.024481609641974
tom,5.92304233658296,22.336796065059946,26.683230692420903,69.17108622913385,0.0,90.744895786352,49.94164046941933,84.827741903393,9.803456595564255,65.79786611005541
rachael,17.462312478529714,66.52753724779271,40.60863299986462,57.85312165384584,90.744895786352,0.0,114.03847967889453,62.30342162361167,179.0698416443743,189.99256379785498
stephen,14.592165770750219,64.33170823564252,60.66577813426058,114.36256261175004,49.94164046941933,114.03847967889453,0.0,156.0724213537124,106.97404194822755,186.79539710857534
sissy,13.25718201681371,50.82577968696852,10.520577352535655,21.48551376735395,84.827741903393,62.30342162361167,156.0724213537124,0.0,313.8471101101552,157.47306041034807
harthouse,3.655242929099779,37.67061526020614,77.284408393318,173.0464350357943,9.803456595564255,179.0698416443743,106.97404194822755,313.8471101101552,0.0,273.0438320460779
bitzer,19.39819634975398,17.796325510003282,51.63182377159476,36.024481609641974,65.79786611005541,189.99256379785498,186.79539710857534,157.47306041034807,273.0438320460779,0.0
