,bounderby,sparsit,louisa,gradgrind,tom,rachael,stephen,sissy,harthouse,bitzer
bounderby,0.0,13.625927443045008,10.601838044673208,14.456021497704207,11.365979158628347,35.99242453280502,29.280733268691883,26.818965785753424,8.036949615963072,40.735499164134566
sparsit,13.625927443045008,0.0,52.77734476314079,139.64388707834928,43.18094664808205,137.63220156935958,129.4503599864699,103.46697728395233,82.03793950838705,36.27942793919106
louisa,10.601838044673208,52.77734476314079,0.0,83.01322695553105,52.5078634083488,83.96928974193247,122.61652107325011,21.63675356580654,168.96439963641453,108.63173431807722
gradgrind,14.456021497704207,139.64388707834928,83.01322695553105,0.0,135.13040746228373,118.90044738706248,234.21615668190657,44.42463134141179,380.922025058322,77.15540707417286
tom,11.365979158628347,43.18094664808205,52.5078634083488,135.13040746228373,0.0,186.80793140640904,99.65138182156196,175.36033639104102,21.444132696685184,137.24733598265362
rachael,35.99242453280502,137.63220156935958,83.96928974193247,118.90044738706248,186.80793140640904,0.0,234.28625863007218,124.8961361550664,395.54165347283924,403.54047152385687
stephen,29.280733268691883,129.4503599864699,122.61652107325011,234.21615668190657,99.65138182156196,234.28625863007218,0.0,319.5850254963383,234.34718208770389,399.7418144404249
sissy,26.818965785753424,103.46697728395233,21.63675356580654,44.42463134141179,175.36033639104102,124.8961361550664,319.5850254963383,0.0,693.5089265058127,334.7588115359718
harthouse,8.036949615963072,82.03793950838705,168.96439963641453,380.922025058322,21.444132696685184,395.54165347283924,234.34718208770389,693.5089265058127,0.0,591.606967608914
bitzer,40.735499164134566,36.27942793919106,108.63173431807722,77.15540707417286,137.24733598265362,403.54047152385687,399.7418144404249,334.7588115359718,591.606967608914,0.0
