,clennam,dorrit,arthur,pancks,meagles,merdle,amy,little dorrit,flintwinch,maggy
clennam,0.0,76.38439371101653,28.253183976571155,16.451048246195143,20.668532136502954,42.060865227097004,35.96042235850727,16.203450619848258,32.466991971945596,19.240401289961945
dorrit,76.38439371101653,0.0,141.55407576049868,113.23796367188918,294.040599699652,51.53302076791684,68.6915456844247,196.78405498405039,152.0002994883867,387.8457025733546
arthur,28.253183976571155,141.55407576049868,0.0,80.09219827606078,80.89467014459295,60.6935950972157,68.31310857757504,34.83063782448958,39.813742261633216,63.081975695098926
pancks,16.451048246195143,113.23796367188918,80.09219827606078,0.0,127.02156368773042,65.78090934931588,89.75843818184796,79.76309354038425,80.60084680784503,102.5613076375967
meagles,20.668532136502954,294.040599699652,80.89467014459295,127.02156368773042,0.0,278.177267564679,148.57243156539298,55.816844226432835,104.47631494203213,68.41016100649739
merdle,42.060865227097004,51.53302076791684,60.6935950972157,65.78090934931588,278.177267564679,0.0,202.3401182256998,340.996232262778,207.9990338842041,591.0941650964962
amy,35.96042235850727,68.6915456844247,68.31310857757504,89.75843818184796,148.57243156539298,202.3401182256998,0.0,135.85991889598637,179.97557589924412,211.47809184906924
little dorrit,16.203450619848258,196.78405498405039,34.83063782448958,79.76309354038425,55.816844226432835,340.996232262778,135.85991889598637,0.0,170.84179339565387,35.231460526692466
flintwinch,32.466991971945596,152.0002994883867,39.813742261633216,80.60084680784503,104.47631494203213,207.9990338842041,179.97557589924412,170.84179339565387,0.0,280.7021627226342
maggy,19.240401289961945,387.8457025733546,63.081975695098926,102.5613076375967,68.41016100649739,591.0941650964962,211.47809184906924,35.231460526692466,280.7021627226342,0.0
