,clennam,dorrit,arthur,pancks,meagles,merdle,amy,little dorrit,flintwinch,maggy
clennam,0.0,159.23263947050614,57.80630896671126,34.687332056569794,41.37245264581081,93.77344211888729,78.53024428214356,34.99634464018399,70.34139659768408,40.773710681881376
dorrit,159.23263947050614,0.0,288.88054728326205,236.73202427777198,609.8057533288949,113.57629459968554,145.7088620360588,422.5163738327548,331.24782344209734,853.1193304330964
arthur,57.80630896671126,288.88054728326205,0.0,165.6565268433643,165.83915475683222,134.6469420767344,149.16158591422,75.12654254285752,86.52456669856473,135.9981248974333
pancks,34.687332056569794,236.73202427777198,165.6565268433643,0.0,256.7326395939649,146.94513787280735,193.19745386322694,168.797820007071,172.95127399747128,219.17094073951768
meagles,41.37245264581081,609.8057533288949,165.83915475683222,256.7326395939649,0.0,610.4625455259703,326.07163755240805,119.10124693144822,229.66085961152385,147.90979890829308
merdle,93.77344211888729,113.57629459968554,134.6469420767344,146.94513787280735,610.4625455259703,0.0,439.4069815019261,741.1763839348878,455.6279988396099,1313.7122291598357
amy,78.53024428214356,145.7088620360588,149.16158591422,193.19745386322694,326.07163755240805,439.4069815019261,0.0,294.9137375605134,396.78579814369704,464.3023312636218
little dorrit,34.99634464018399,422.5163738327548,75.12654254285752,168.797820007071,119.10124693144822,741.1763839348878,294.9137375605134,0.0,373.4134272330725,75.58010308915857
flintwinch,70.34139659768408,331.24782344209734,86.52456669856473,172.95127399747128,229.66085961152385,455.6279988396099,396.78579814369704,373.4134272330725,0.0,612.6018134478524
maggy,40.773710681881376,853.1193304330964,135.9981248974333,219.17094073951768,147.90979890829308,1313.7122291598357,464.3023312636218,75.58010308915857,612.6018134478524,0.0
