,pecksniff,tom,martin,jonas,mark,mrs gamp,john,chuzzlewit,tapley,bailey
pecksniff,0.0,51.40222635218726,18.46365382179432,7.320319943755559,14.313038326018633,32.306772472795025,21.355732436950973,7.673888869723063,21.141806233296673,47.085689088475256
tom,51.40222635218726,0.0,36.68084481840461,34.262267901807114,28.01510616340307,39.303474588328825,1.5152689960775885,25.303309815193003,40.13043459380285,83.40280358522472
martin,18.46365382179432,36.68084481840461,0.0,21.601554778050993,2.2104352254878186,34.305312398460806,25.751298828032798,12.517648811350375,1.4105395953677098,78.8827889126055
jonas,7.320319943755559,34.262267901807114,21.601554778050993,0.0,42.65700167551179,23.59384974309016,52.30851429891951,38.15398886953313,67.35086291553436,29.84481098352833
mark,14.313038326018633,28.01510616340307,2.2104352254878186,42.65700167551179,0.0,93.14552314060033,90.20446970120929,80.54579674691416,10.636308924614154,154.8229164825594
mrs gamp,32.306772472795025,39.303474588328825,34.305312398460806,23.59384974309016,93.14552314060033,0.0,140.16168998775015,117.69947723935758,118.84711291146795,84.26774084432459
john,21.355732436950973,1.5152689960775885,25.751298828032798,52.30851429891951,90.20446970120929,140.16168998775015,0.0,118.59752903461404,101.42934133099338,322.7657683047579
chuzzlewit,7.673888869723063,25.303309815193003,12.517648811350375,38.15398886953313,80.54579674691416,117.69947723935758,118.59752903461404,0.0,114.67029072812669,258.2999497381182
tapley,21.141806233296673,40.13043459380285,1.4105395953677098,67.35086291553436,10.636308924614154,118.84711291146795,101.42934133099338,114.67029072812669,0.0,408.3024403597418
bailey,47.085689088475256,83.40280358522472,78.8827889126055,29.84481098352833,154.8229164825594,84.26774084432459,322.7657683047579,258.2999497381182,408.3024403597418,0.0
