,pecksniff,tom,martin,jonas,mark,mrs gamp,john,chuzzlewit,tapley,bailey
pecksniff,0.0,27.815388093702172,9.904109318198199,3.6320084785162625,7.102818252289461,14.846899239836869,9.272608443087483,3.360100483523896,9.253379593328544,20.17182628918408
tom,27.815388093702172,0.0,19.554359515892255,17.253347779490436,13.825990223353319,18.39164949064528,0.6978264468248074,11.441407633787502,17.462835119444645,36.19455710775163
martin,9.904109318198199,19.554359515892255,0.0,10.793837387277216,1.1319475778027195,15.974405352701561,11.497311129804402,5.675860344011232,0.5981650543585121,34.02541793490542
jonas,3.6320084785162625,17.253347779490436,10.793837387277216,0.0,21.188736156152483,10.869145603153259,23.636885798974255,17.300621943241815,29.096178900993433,12.974359312542065
mark,7.102818252289461,13.825990223353319,1.1319475778027195,21.188736156152483,0.0,43.322788853655545,40.29615144777313,35.791420708847674,4.4416059074470144,67.43370030010595
mrs gamp,14.846899239836869,18.39164949064528,15.974405352701561,10.869145603153259,43.322788853655545,0.0,62.975734165121814,53.12960614119799,51.39862484653267,37.27705633089921
john,9.272608443087483,0.6978264468248074,11.497311129804402,23.636885798974255,40.29615144777313,62.975734165121814,0.0,53.07519127650202,44.07370773866182,137.49816698500055
chuzzlewit,3.360100483523896,11.441407633787502,5.675860344011232,17.300621943241815,35.791420708847674,53.12960614119799,53.07519127650202,0.0,49.707300813393125,110.57791757371851
tapley,9.253379593328544,17.462835119444645,0.5981650543585121,29.096178900993433,4.4416059074470144,51.39862484653267,44.07370773866182,49.707300813393125,0.0,174.5104062260727
bailey,20.17182628918408,36.19455710775163,34.02541793490542,12.974359312542065,67.43370030010595,37.27705633089921,137.49816698500055,110.57791757371851,174.5104062260727,0.0
