,nicholas,squeers,nickleby,ralph,kate,newman,kenwigs,smike,crummles,la creevy
nicholas,0.0,15.249017115847725,4.5536027716637,7.126068547641666,5.455235059392163,4.367823628352369,13.951302595731542,1.288552071333711,1.147946956711513,5.855033824381847
squeers,15.249017115847725,0.0,39.73294415610883,76.2736866115217,43.312179980027295,44.76960944064952,64.11931297097065,55.24353150040051,263.506988459905,58.265164220164756
nickleby,4.5536027716637,39.73294415610883,0.0,48.00647671094894,5.584286761049951,21.171986584738235,60.502028435046824,15.774052119678357,55.426708175510434,7.989906555548749
ralph,7.126068547641666,76.2736866115217,48.00647671094894,0.0,36.5004556845907,21.385199460590137,75.77903506636896,31.726789237939,84.49722042613156,16.000110149130965
kate,5.455235059392163,43.312179980027295,5.584286761049951,36.5004556845907,0.0,27.49878834070064,77.59920100860889,32.00472704799229,72.42017370008317,23.744000739317126
newman,4.367823628352369,44.76960944064952,21.171986584738235,21.385199460590137,27.49878834070064,0.0,85.27638916541015,47.099284225941915,197.20069603783597,78.2776778600911
kenwigs,13.951302595731542,64.11931297097065,60.502028435046824,75.77903506636896,77.59920100860889,85.27638916541015,0.0,141.7187401674742,236.09414262795624,168.37826038593568
smike,1.288552071333711,55.24353150040051,15.774052119678357,31.726789237939,32.00472704799229,47.099284225941915,141.7187401674742,0.0,175.34538971740568,167.19150810892623
crummles,1.147946956711513,263.506988459905,55.426708175510434,84.49722042613156,72.42017370008317,197.20069603783597,236.09414262795624,175.34538971740568,0.0,302.7355313381962
la creevy,5.855033824381847,58.265164220164756,7.989906555548749,16.000110149130965,23.744000739317126,78.2776778600911,168.37826038593568,167.19150810892623,302.7355313381962,0.0
