,nicholas,squeers,nickleby,ralph,kate,newman,kenwigs,smike,crummles,la creevy
nicholas,0.0,8.60787058270067,2.5161896372645094,3.6837635653002523,2.8333415647293596,2.086960143507177,6.641331069882655,0.584537856758222,0.5225026060339674,2.8082047888540873
squeers,8.60787058270067,0.0,21.79869132824329,40.585744938421435,22.371640610808143,21.30045206720422,30.34728091611479,25.63624043515497,121.28439471871137,27.284977863038865
nickleby,2.5161896372645094,21.79869132824329,0.0,24.69251476136377,2.855711598700911,10.063515870962776,28.831674558965908,7.353556329024164,25.415801960715907,3.764467068191859
ralph,3.6837635653002523,40.585744938421435,24.69251476136377,0.0,18.501281046505774,10.30077967586641,36.33953493686753,14.882464544543632,38.868727958414624,7.299012482058345
kate,2.8333415647293596,22.371640610808143,2.855711598700911,18.501281046505774,0.0,13.196383808240997,36.754274837778325,14.912681881033063,33.204416193610946,11.552297820885354
newman,2.086960143507177,21.30045206720422,10.063515870962776,10.30077967586641,13.196383808240997,0.0,40.87122963893414,21.90746917499232,90.00884059254977,36.94365657177541
kenwigs,6.641331069882655,30.34728091611479,28.831674558965908,36.33953493686753,36.754274837778325,40.87122963893414,0.0,65.58366403809548,108.97832040339259,79.02100850652549
smike,0.584537856758222,25.63624043515497,7.353556329024164,14.882464544543632,14.912681881033063,21.90746917499232,65.58366403809548,0.0,79.8314140112109,78.40381532436196
crummles,0.5225026060339674,121.28439471871137,25.415801960715907,38.868727958414624,33.204416193610946,90.00884059254977,108.97832040339259,79.8314140112109,0.0,140.81603909042514
la creevy,2.8082047888540873,27.284977863038865,3.764467068191859,7.299012482058345,11.552297820885354,36.94365657177541,79.02100850652549,78.40381532436196,140.81603909042514,0.0
