,nicholas,squeers,nickleby,ralph,kate,newman,kenwigs,smike,crummles,la creevy
nicholas,0.0,26.830646087470857,8.208447976189534,13.70189499441041,10.412553155704147,9.078683626390493,29.06409865623774,2.814982189753159,2.498095806785611,12.155261996712591
squeers,26.830646087470857,0.0,71.96352791739446,142.2961100981385,83.19863810716487,93.34245813840671,134.41519840229782,117.9644049776012,567.2342465298163,123.67466399492557
nickleby,8.208447976189534,71.96352791739446,0.0,92.56347839673062,10.827199480216361,44.15239678073872,125.91873664264688,33.542435620983206,119.70737208434413,16.858155180042804
ralph,13.70189499441041,142.2961100981385,92.56347839673062,0.0,71.39116800710524,44.05396118550147,156.68610954859102,67.08908697440887,181.91458595188763,34.858441157867674
kate,10.412553155704147,83.19863810716487,10.827199480216361,71.39116800710524,0.0,56.867603961368914,162.46968101611859,68.11532515346369,156.4264810064423,48.58923030578832
newman,9.078683626390493,93.34245813840671,44.15239678073872,44.05396118550147,56.867603961368914,0.0,176.5255761117709,100.3893326801197,427.945238708268,164.88667096221062
kenwigs,29.06409865623774,134.41519840229782,125.91873664264688,156.68610954859102,162.46968101611859,176.5255761117709,0.0,303.6334889367851,506.8074511279659,356.58754392980853
smike,2.814982189753159,117.9644049776012,33.542435620983206,67.08908697440887,68.11532515346369,100.3893326801197,303.6334889367851,0.0,381.5318119802461,354.30212971306366
crummles,2.498095806785611,567.2342465298163,119.70737208434413,181.91458595188763,156.4264810064423,427.945238708268,506.8074511279659,381.5318119802461,0.0,646.1247626941866
la creevy,12.155261996712591,123.67466399492557,16.858155180042804,34.858441157867674,48.58923030578832,164.88667096221062,356.58754392980853,354.30212971306366,646.1247626941866,0.0
