,oliver,bumble,sikes,fagin,brownlow,rose,giles,noah,nancy,bill
oliver,0.0,10.610710040980003,14.134038145705793,45.59747486179076,28.230650694036843,17.3516768858118,52.32637884497626,47.53829842245498,16.83024402241624,48.48458609299016
bumble,10.610710040980003,0.0,53.18300142034452,99.9710490327834,118.69466879899261,67.35797759711004,94.72239793859943,78.18878623315608,86.1759571474778,97.31914295389456
sikes,14.134038145705793,53.18300142034452,0.0,50.52603940856583,55.98630285603013,115.5528769847999,172.69025684704815,113.57127824417196,3.779404543065421,2.603589798490973
fagin,45.59747486179076,99.9710490327834,50.52603940856583,0.0,56.49567093894332,99.48704811088251,214.58319961668616,59.794096819917456,13.588087736266754,6.043898170608241
brownlow,28.230650694036843,118.69466879899261,55.98630285603013,56.49567093894332,0.0,223.15899734631728,414.1350010055335,139.7208145655226,94.89091219079195,120.50728318345793
rose,17.3516768858118,67.35797759711004,115.5528769847999,99.48704811088251,223.15899734631728,0.0,171.64050648168023,314.17565107478345,314.59968266260853,326.50363581021276
giles,52.32637884497626,94.72239793859943,172.69025684704815,214.58319961668616,414.1350010055335,171.64050648168023,0.0,465.3219339669162,334.59533060235674,389.857611235425
noah,47.53829842245498,78.18878623315608,113.57127824417196,59.794096819917456,139.7208145655226,314.17565107478345,465.3219339669162,0.0,258.63118232179016,246.46955274617451
nancy,16.83024402241624,86.1759571474778,3.779404543065421,13.588087736266754,94.89091219079195,314.59968266260853,334.59533060235674,258.63118232179016,0.0,44.1465010650624
bill,48.48458609299016,97.31914295389456,2.603589798490973,6.043898170608241,120.50728318345793,326.50363581021276,389.857611235425,246.46955274617451,44.1465010650624,0.0
