,boffin,bella,eugene,venus,fledgeby,mrs boffin,wegg,twemlow,lizzie,john
boffin,0.0,25.31304291006878,43.30050763532562,10.626166130953951,53.91464481586681,6.735566761269049,4.586734213215597,46.85397398491331,59.86372356223478,67.01213921973265
bella,25.31304291006878,0.0,51.47689007374304,22.053086727976655,50.97942560907787,62.623251723424644,52.89669752880392,51.37677173141783,25.584803214870714,2.7196945020366567
eugene,43.30050763532562,51.47689007374304,0.0,128.6004895219127,99.5973848042535,74.29371450260925,79.57509095920261,73.16732201340929,37.110659963038366,233.63040714221214
venus,10.626166130953951,22.053086727976655,128.6004895219127,0.0,70.62998708726673,150.29232593595518,76.25249688046401,98.55080510206015,90.91012166523353,247.60962207719953
fledgeby,53.91464481586681,50.97942560907787,99.5973848042535,70.62998708726673,0.0,174.65591260833654,159.86961359497948,93.20906435898601,92.34490400258933,280.5959691065592
mrs boffin,6.735566761269049,62.623251723424644,74.29371450260925,150.29232593595518,174.65591260833654,0.0,48.97449891013838,106.81605777273235,75.69358030181203,406.45194091402493
wegg,4.586734213215597,52.89669752880392,79.57509095920261,76.25249688046401,159.86961359497948,48.97449891013838,0.0,107.9352880191207,99.4807615748751,432.5878502932747
twemlow,46.85397398491331,51.37677173141783,73.16732201340929,98.55080510206015,93.20906435898601,106.81605777273235,107.9352880191207,0.0,129.6043512161569,608.5108475785329
lizzie,59.86372356223478,25.584803214870714,37.110659963038366,90.91012166523353,92.34490400258933,75.69358030181203,99.4807615748751,129.6043512161569,0.0,498.6796693162079
john,67.01213921973265,2.7196945020366567,233.63040714221214,247.60962207719953,280.5959691065592,406.45194091402493,432.5878502932747,608.5108475785329,498.6796693162079,0.0
