,boffin,bella,eugene,venus,fledgeby,mrs boffin,wegg,twemlow,lizzie,john
boffin,0.0,13.03580774271207,21.286962810920247,5.181037575590399,25.817620864013513,3.2722042603374955,2.2479413973771387,22.78312531349204,27.73763011952408,28.46160684008495
bella,13.03580774271207,0.0,25.63332289850911,10.639353265111358,24.238276366971704,31.36341183567972,26.246442804351727,24.76205920052994,12.234753476486034,1.1551595929353973
eugene,21.286962810920247,25.63332289850911,0.0,62.581467857391885,48.26085424975019,36.70631085043864,38.93006915692313,34.60239839396187,17.51794284515834,100.34384353659436
venus,5.181037575590399,10.639353265111358,62.581467857391885,0.0,33.947642586727255,73.08019018943803,37.866408202394155,47.47087969280391,42.02516978473396,106.02457249765446
fledgeby,25.817620864013513,24.238276366971704,48.26085424975019,33.947642586727255,0.0,85.3123814463514,77.82024039534816,45.08324717971617,43.06000542284872,120.40069913609956
mrs boffin,3.2722042603374955,31.36341183567972,36.70631085043864,73.08019018943803,85.3123814463514,0.0,23.923405255544015,50.44760920822545,34.88333362607376,176.81753589123366
wegg,2.2479413973771387,26.246442804351727,38.93006915692313,37.866408202394155,77.82024039534816,23.923405255544015,0.0,51.181350663384144,45.961382494142796,187.6730720712912
twemlow,22.78312531349204,24.76205920052994,34.60239839396187,47.47087969280391,45.08324717971617,50.44760920822545,51.181350663384144,0.0,61.079463790753806,265.14939106684915
lizzie,27.73763011952408,12.234753476486034,17.51794284515834,42.02516978473396,43.06000542284872,34.88333362607376,45.961382494142796,61.079463790753806,0.0,216.3941810044555
john,28.46160684008495,1.1551595929353973,100.34384353659436,106.02457249765446,120.40069913609956,176.81753589123366,187.6730720712912,265.14939106684915,216.3941810044555,0.0
