,boffin,bella,eugene,venus,fledgeby,mrs boffin,wegg,twemlow,lizzie,john
boffin,0.0,48.746799592711746,87.4676290348906,21.60964807439176,111.58656388958555,13.751349875323465,9.29801786608038,96.09335873791487,128.32937121748094,156.23077334899162
bella,48.746799592711746,0.0,102.63102433030807,45.36652472209682,106.2227661152824,124.04209972163524,105.91650594859209,106.27741127068703,53.20283484068329,6.34147633928728
eugene,87.4676290348906,102.63102433030807,0.0,262.17416316767293,203.792654382753,149.27833249803868,161.83295182917595,154.09751796029698,78.15059218555307,538.6836405338291
venus,21.60964807439176,45.36652472209682,262.17416316767293,0.0,145.7108599578117,306.50131631210894,152.4259396823047,203.66566603577823,195.2203208468157,572.6195899766849
fledgeby,111.58656388958555,106.2227661152824,203.792654382753,145.7108599578117,0.0,354.6175441242188,326.0425220477278,191.69085169500354,196.58346081093697,647.5884080692006
mrs boffin,13.751349875323465,124.04209972163524,149.27833249803868,306.50131631210894,354.6175441242188,0.0,99.6657371257809,225.25170083005696,163.1299523710644,925.4196109669763
wegg,9.29801786608038,105.91650594859209,161.83295182917595,152.4259396823047,326.0425220477278,99.6657371257809,0.0,226.73541305280267,213.80014294267872,987.6483459979758
twemlow,96.09335873791487,106.27741127068703,154.09751796029698,203.66566603577823,191.69085169500354,225.25170083005696,226.73541305280267,0.0,273.5036988599021,1383.6341109177285
lizzie,128.32937121748094,53.20283484068329,78.15059218555307,195.2203208468157,196.58346081093697,163.1299523710644,213.80014294267872,273.5036988599021,0.0,1138.2490795902359
john,156.23077334899162,6.34147633928728,538.6836405338291,572.6195899766849,647.5884080692006,925.4196109669763,987.6483459979758,1383.6341109177285,1138.2490795902359,0.0
