,napoleon,davis,courier,piazza,goblin,peter,cicerone,campagna,low,signore
napoleon,0.0,6231.124971428195,1514.435843628075,5315.560129128052,2725.9899758081747,10952.829821461291,2029.6353252202866,11775.18058820456,72.34920218946607,5767.705765994693
davis,6231.124971428195,0.0,8309.372970370116,3560.0944069988263,12353.295064893191,3356.892535315508,6409.192270195395,2668.090150727879,13483.983371158078,5740.038990334045
courier,1514.435843628075,8309.372970370116,0.0,7753.489779168791,1644.4648250814873,13314.562455102823,3845.4770311833104,13894.972564705135,2222.719451279332,7457.598852992136
piazza,5315.560129128052,3560.0944069988263,7753.489779168791,0.0,9713.74489720025,2842.932313629065,1970.1907472735593,2497.6085666892773,6086.103982649683,857.5303453331388
goblin,2725.9899758081747,12353.295064893191,1644.4648250814873,9713.74489720025,0.0,17631.829230235035,8350.640650672687,19848.558870756686,4703.163245165283,13472.905455933866
peter,10952.829821461291,3356.892535315508,13314.562455102823,2842.932313629065,17631.829230235035,0.0,8928.60444860959,1187.076859644529,15226.45628954946,7168.597904872634
cicerone,2029.6353252202866,6409.192270195395,3845.4770311833104,1970.1907472735593,8350.640650672687,8928.60444860959,0.0,9617.55546248039,3868.3367592749405,2584.1311580588085
campagna,11775.18058820456,2668.090150727879,13894.972564705135,2497.6085666892773,19848.558870756686,1187.076859644529,9617.55546248039,0.0,15099.760097295795,6557.065982404763
low,72.34920218946607,13483.983371158078,2222.719451279332,6086.103982649683,4703.163245165283,15226.45628954946,3868.3367592749405,15099.760097295795,0.0,8272.101399698804
signore,5767.705765994693,5740.038990334045,7457.598852992136,857.5303453331388,13472.905455933866,7168.597904872634,2584.1311580588085,6557.065982404763,8272.101399698804,0.0
