,meg,trotty,toby,alderman,richard,joseph,tugby,fish,lilian,toby veck
meg,0.0,6.9226735811212,42.13426890919775,23.423812860143283,3.528840031549818,41.80384271916265,33.889551628617866,36.041162537955294,6.176118151247476,22.349872630279037
trotty,6.9226735811212,0.0,43.912658191583276,16.06024113258076,11.595149845937998,26.938317018310286,54.38686415847094,20.186309711844302,16.308800701528103,25.315786476409347
toby,42.13426890919775,43.912658191583276,0.0,23.813036330413794,100.02730412926368,24.45990843143031,230.55037873185736,40.85959904174126,227.66755184838755,2.0639056374458695
alderman,23.423812860143283,16.06024113258076,23.813036330413794,0.0,102.67046001203958,29.198103542965196,209.93638368900523,20.518566399918075,195.29341766880225,131.15042344130612
richard,3.528840031549818,11.595149845937998,100.02730412926368,102.67046001203958,0.0,126.94799351239412,49.085602127343144,62.700666120514015,20.38461337751639,177.06904250564332
joseph,41.80384271916265,26.938317018310286,24.45990843143031,29.198103542965196,126.94799351239412,0.0,218.97293701832623,17.03728453016337,216.78372479847457,208.10986135661537
tugby,33.889551628617866,54.38686415847094,230.55037873185736,209.93638368900523,49.085602127343144,218.97293701832623,0.0,198.58975105268135,41.88916684197731,590.9687225039321
fish,36.041162537955294,20.186309711844302,40.85959904174126,20.518566399918075,62.700666120514015,17.03728453016337,198.58975105268135,0.0,184.28840012023147,257.46911000468003
lilian,6.176118151247476,16.308800701528103,227.66755184838755,195.29341766880225,20.38461337751639,216.78372479847457,41.88916684197731,184.28840012023147,0.0,527.354390330337
toby veck,22.349872630279037,25.315786476409347,2.0639056374458695,131.15042344130612,177.06904250564332,208.10986135661537,590.9687225039321,257.46911000468003,527.354390330337,0.0
