,john,caleb,tackleton,bertha,peerybingle,tilly,john peerybingle,boxer,slowboy,edward
john,0.0,16.849979051991774,24.40000490962328,19.601078865729466,17.702332194968605,14.321443529008025,10.48345759183195,7.407236555132446,6.344388488136986,13.606370763097697
caleb,16.849979051991774,0.0,12.741599782166396,3.32767773518533,68.36671722251079,20.28469456452501,16.91687919149361,23.675904897777993,18.51416948635906,27.480291139983212
tackleton,24.40000490962328,12.741599782166396,0.0,10.838828062940497,72.79746107288614,18.667245036211703,4.794400143255582,26.410219354464186,24.68822011536292,33.574812712423906
bertha,19.601078865729466,3.32767773518533,10.838828062940497,0.0,167.55540958166722,56.273352300327126,27.311274721103807,71.40129036287975,74.73803113662396,42.43124483408229
peerybingle,17.702332194968605,68.36671722251079,72.79746107288614,167.55540958166722,0.0,160.57575238421143,267.17815983491994,70.29604424618296,54.91022225549381,523.5157455885603
tilly,14.321443529008025,20.28469456452501,18.667245036211703,56.273352300327126,160.57575238421143,0.0,113.44996964216853,60.87232514210353,48.340461183472435,272.6206345392701
john peerybingle,10.48345759183195,16.91687919149361,4.794400143255582,27.311274721103807,267.17815983491994,113.44996964216853,0.0,215.55444570114088,125.21614834528756,129.9921798794524
boxer,7.407236555132446,23.675904897777993,26.410219354464186,71.40129036287975,70.29604424618296,60.87232514210353,215.55444570114088,0.0,65.50756375352434,550.7161788399267
slowboy,6.344388488136986,18.51416948635906,24.68822011536292,74.73803113662396,54.91022225549381,48.340461183472435,125.21614834528756,65.50756375352434,0.0,423.6375926930058
edward,13.606370763097697,27.480291139983212,33.574812712423906,42.43124483408229,523.5157455885603,272.6206345392701,129.9921798794524,550.7161788399267,423.6375926930058,0.0
