,john,caleb,tackleton,bertha,peerybingle,tilly,john peerybingle,boxer,slowboy,edward
john,0.0,54.96626195999519,82.85694573883866,78.89208330731402,54.050164912645634,73.92290440382124,54.49044567286235,35.943825988128054,32.4931880751831,81.71748540533177
caleb,54.96626195999519,0.0,45.2301917875823,13.666702717747022,233.91487273848105,93.3617314215919,88.86456901588747,110.21441717570933,85.15133131009273,164.37451203721398
tackleton,82.85694573883866,45.2301917875823,0.0,44.51433103384068,250.60856822798036,81.72603565224803,24.58565911592289,118.65053373043949,113.04080174817294,201.82475031854807
bertha,78.89208330731402,13.666702717747022,44.51433103384068,0.0,643.4748228610963,255.8805815332762,139.24681244090405,329.3058882839588,355.80300209991066,252.85283213056255
peerybingle,54.050164912645634,233.91487273848105,250.60856822798036,643.4748228610963,0.0,731.1152555592463,1257.0269531569888,330.87818549532733,277.8714446696584,2909.000358266233
tilly,73.92290440382124,93.3617314215919,81.72603565224803,255.8805815332762,731.1152555592463,0.0,554.0621491761427,305.8803932104715,247.81489542987592,1581.350790152211
john peerybingle,54.49044567286235,88.86456901588747,24.58565911592289,139.24681244090405,1257.0269531569888,554.0621491761427,0.0,1066.5746506570504,609.3753871132106,754.4968734174971
boxer,35.943825988128054,110.21441717570933,118.65053373043949,329.3058882839588,330.87818549532733,305.8803932104715,1066.5746506570504,0.0,332.04467286711656,3098.0525248923327
slowboy,32.4931880751831,85.15133131009273,113.04080174817294,355.80300209991066,277.8714446696584,247.81489542987592,609.3753871132106,332.04467286711656,0.0,2341.5707173643277
edward,81.71748540533177,164.37451203721398,201.82475031854807,252.85283213056255,2909.000358266233,1581.350790152211,754.4968734174971,3098.0525248923327,2341.5707173643277,0.0
