,alicia,grandmarina,pickles,prince certainpersonio,chamberlain,king,mr pickles,certainpersonio,king watkins,peggy
alicia,0.0,18.64145424184189,16.134515418930732,20.26361199067674,26.88609353022756,26.233541225631424,62.588104832579425,22.999999999999996,2.0000000000000004,37.99999999999999
grandmarina,18.64145424184189,0.0,20.911833743755054,18.192134306829164,474.85343591536184,12.093668193156661,932.9531317376917,20.000000000000004,484.0,202.99999999999997
pickles,16.134515418930732,20.911833743755054,0.0,95.3304952391323,752.8849118532661,83.95731350734543,596.9813422444423,30.999999999999996,500.00000000000006,913.0
prince certainpersonio,20.26361199067674,18.192134306829164,95.3304952391323,0.0,1439.2494680387124,210.97037498748165,1970.7499286439147,71.99999999999999,1074.0000000000002,2891.0
chamberlain,26.88609353022756,474.85343591536184,752.8849118532661,1439.2494680387124,0.0,1228.2478500878306,531.497060190701,2734.0,1732.0000000000002,9.0
king,26.233541225631424,12.093668193156661,83.95731350734543,210.97037498748165,1228.2478500878306,0.0,1759.745302942428,271.00000000000006,642.0,2459.0
mr pickles,62.588104832579425,932.9531317376917,596.9813422444423,1970.7499286439147,531.497060190701,1759.745302942428,0.0,3802.0,2800.0,982.9999999999999
certainpersonio,22.999999999999996,20.000000000000004,30.999999999999996,71.99999999999999,2734.0,271.00000000000006,3802.0,0.0,1001.9999999999999,2818.9999999999995
king watkins,2.0000000000000004,484.0,500.00000000000006,1074.0000000000002,1732.0000000000002,642.0,2800.0,1001.9999999999999,0.0,1816.9999999999998
peggy,37.99999999999999,202.99999999999997,913.0,2891.0,9.0,2459.0,982.9999999999999,2818.9999999999995,1816.9999999999998,0.0
