,alicia,grandmarina,pickles,prince certainpersonio,chamberlain,king,mr pickles,certainpersonio,king watkins,peggy
alicia,0.0,9.496606850999077,7.937359949065513,8.833782185748287,12.705131641694821,11.113756992962687,35.429059991733055,9.024064775479701,0.8077671634325724,16.853611800907853
grandmarina,9.496606850999077,0.0,10.681539942533075,7.9318886353268905,214.98580131527982,5.127490030369874,449.08375369958696,7.851207619857178,193.99180035061246,90.70012511032667
pickles,7.937359949065513,10.681539942533075,0.0,41.772129378825134,351.2340975262609,35.68498426299009,286.34245695583746,12.161665860622408,200.3569274878314,427.3902768632426
prince certainpersonio,8.833782185748287,7.9318886353268905,41.772129378825134,0.0,633.9393428101001,88.9808953526411,902.9329178314781,28.232180906619302,426.8951279339913,1190.2166802541633
chamberlain,12.705131641694821,214.98580131527982,351.2340975262609,633.9393428101001,0.0,544.9459708849461,268.9935218848139,1124.475425912287,725.8124788849146,3.983789801834064
king,11.113756992962687,5.127490030369874,35.68498426299009,88.9808953526411,544.9459708849461,0.0,813.9397796920921,106.72486518224899,256.7223057965725,1020.0438581167444
mr pickles,35.429059991733055,449.08375369958696,286.34245695583746,902.9329178314781,268.9935218848139,813.9397796920921,0.0,1625.585518729581,1226.922571702209,463.601019382037
certainpersonio,9.024064775479701,7.851207619857178,12.161665860622408,28.232180906619302,1124.475425912287,106.72486518224899,1625.585518729581,0.0,398.662947027372,1161.984499347544
king watkins,0.8077671634325724,193.99180035061246,200.3569274878314,426.8951279339913,725.8124788849146,256.7223057965725,1226.922571702209,398.662947027372,0.0,763.321552320172
peggy,16.853611800907853,90.70012511032667,427.3902768632426,1190.2166802541633,3.983789801834064,1020.0438581167444,463.601019382037,1161.984499347544,763.321552320172,0.0
