,alicia,grandmarina,pickles,prince certainpersonio,chamberlain,king,mr pickles,certainpersonio,king watkins,peggy
alicia,0.0,36.2390178617512,32.64163653832744,46.017627196118816,56.32717036793291,61.304031427371164,109.62843638045486,58.034824352514995,4.902402797139076,84.82224725177093
grandmarina,36.2390178617512,0.0,40.72949832250911,41.30730402928815,1039.4980757717328,28.23884871542999,1928.7529531903576,50.43810167485389,1195.5026205312188,449.81271262871206
pickles,32.64163653832744,40.72949832250911,0.0,215.3875543171753,1602.1759181267303,195.55446309641334,1240.2407578732982,78.22859611851162,1235.3195792376055,1933.8197576455336
prince certainpersonio,46.017627196118816,41.30730402928815,215.3875543171753,0.0,3238.487916731264,495.2059011660112,4280.875410203696,181.7840911185904,2675.1978651009063,6960.007747189547
chamberlain,56.32717036793291,1039.4980757717328,1602.1759181267303,3238.487916731264,0.0,2743.204883559488,1042.3658177855268,6587.529055498189,4094.115281515874,20.129075001763795
king,61.304031427371164,28.23884871542999,195.55446309641334,495.2059011660112,2743.204883559488,0.0,3785.5782885979283,681.2553441100281,1589.479998557105,5874.289880645746
mr pickles,109.62843638045486,1928.7529531903576,1240.2407578732982,4280.875410203696,1042.3658177855268,3785.5782885979283,0.0,8846.017671184023,6352.603897201709,2067.7940151130665
certainpersonio,58.034824352514995,50.43810167485389,78.22859611851162,181.7840911185904,6587.529055498189,681.2553441100281,8846.017671184023,0.0,2493.413773982315,6778.223656070956
king watkins,4.902402797139076,1195.5026205312188,1235.3195792376055,2675.1978651009063,4094.115281515874,1589.479998557105,6352.603897201709,2493.413773982315,0.0,4284.8098820886435
peggy,84.82224725177093,449.81271262871206,1933.8197576455336,6960.007747189547,20.129075001763795,5874.289880645746,2067.7940151130665,6778.223656070956,4284.8098820886435,0.0
