,jasper,grewgious,crisparkle,rosa,neville,sapsea,durdles,helena,edwin,twinkleton
jasper,0.0,57.79186431841698,33.704552928143954,36.41917713881998,11.29937272801491,9.704412803341407,4.4264851997097665,32.119816189999675,12.494723170634424,32.952374512510886
grewgious,57.79186431841698,0.0,18.193522153798977,16.671246210099,15.759718399574876,40.30502321135245,54.60874263549744,15.785933631184646,20.974139709780065,37.894580708532345
crisparkle,33.704552928143954,18.193522153798977,0.0,19.83796315774099,3.610867004040517,26.438683653927736,36.78882632793233,3.8142077827535443,23.25358353122491,21.62553660355177
rosa,36.41917713881998,16.671246210099,19.83796315774099,0.0,39.19412085187952,23.84769477699239,27.61510324568543,9.0914000951297,24.42338032763767,4.919588013887728
neville,11.29937272801491,15.759718399574876,3.610867004040517,39.19412085187952,0.0,33.26481335354845,46.124143523682505,17.07807815832727,33.37309537853925,57.97142155364956
sapsea,9.704412803341407,40.30502321135245,26.438683653927736,23.84769477699239,33.26481335354845,0.0,13.699715272187172,62.73721264326084,54.76320940843693,66.60233078629975
durdles,4.4264851997097665,54.60874263549744,36.78882632793233,27.61510324568543,46.124143523682505,13.699715272187172,0.0,103.05969104025613,50.45482509564929,109.8071434937706
helena,32.119816189999675,15.785933631184646,3.8142077827535443,9.0914000951297,17.07807815832727,62.73721264326084,103.05969104025613,0.0,123.84299823300792,43.711090426372266
edwin,12.494723170634424,20.974139709780065,23.25358353122491,24.42338032763767,33.37309537853925,54.76320940843693,50.45482509564929,123.84299823300792,0.0,111.7569087309498
twinkleton,32.952374512510886,37.894580708532345,21.62553660355177,4.919588013887728,57.97142155364956,66.60233078629975,109.8071434937706,43.711090426372266,111.7569087309498,0.0
