,james,signor dellombra,john,baptista,wilhelm,clara,heinrich,carolina,dellombra,ananias dodger
james,0.0,140.0078509789161,3.9812829983965754,328.7373002629042,14.637704924701666,317.3307067848293,1280.7722711074373,648.3513328498262,496.5801504917971,716.2962799025033
signor dellombra,140.0078509789161,0.0,218.95051030807667,144.28277176140767,367.0896058050671,65.2749327286845,834.1422404475759,306.3749426078851,24.828835200594522,990.8126906724276
john,3.9812829983965754,218.95051030807667,0.0,399.78149352947605,30.405933705575436,350.5398027567549,1311.345157158601,676.0493070377037,521.8412826813178,893.4454220157473
baptista,328.7373002629042,144.28277176140767,399.78149352947605,0.0,434.98263110070326,42.258637010526265,341.93571820994345,101.28674201721293,77.90166012036458,545.0173404610952
wilhelm,14.637704924701666,367.0896058050671,30.405933705575436,434.98263110070326,0.0,478.9570748045483,1434.7870373901978,822.4998120614296,654.3206318002307,902.053346589796
clara,317.3307067848293,65.2749327286845,350.5398027567549,42.258637010526265,478.9570748045483,0.0,942.4519916611399,207.28110494788837,47.85712764661831,1053.4794549239368
heinrich,1280.7722711074373,834.1422404475759,1311.345157158601,341.93571820994345,1434.7870373901978,942.4519916611399,0.0,1113.3092756372566,1397.742452408422,938.4935875541709
carolina,648.3513328498262,306.3749426078851,676.0493070377037,101.28674201721293,822.4998120614296,207.28110494788837,1113.3092756372566,0.0,292.7966282266334,814.2315585322841
dellombra,496.5801504917971,24.828835200594522,521.8412826813178,77.90166012036458,654.3206318002307,47.85712764661831,1397.742452408422,292.7966282266334,0.0,1142.3717817588004
ananias dodger,716.2962799025033,990.8126906724276,893.4454220157473,545.0173404610952,902.053346589796,1053.4794549239368,938.4935875541709,814.2315585322841,1142.3717817588004,0.0
