,clotilde,pascal,martine,felicite,ramond,maxime,charles,rougon,macquart,uncle macquart
clotilde,0.0,7.624152831577869,1.6328631693586877,4.870496145031797,7.021911253035147,12.178192916036242,16.80124519462796,2.519064755590828,31.18212861331404,52.60487650859958
pascal,7.624152831577869,0.0,3.953892839855267,8.025775796328688,3.7152473326764945,8.342341823159844,13.549316869497414,4.140873054765687,22.239693313162302,24.56639875253562
martine,1.6328631693586877,3.953892839855267,0.0,18.59408785781619,35.26616181261316,58.67439057587179,83.01821451408757,13.873594224946473,123.65894164765452,148.2307174305297
felicite,4.870496145031797,8.025775796328688,18.59408785781619,0.0,322.2866480722959,49.80854200428311,40.37539665657685,10.674250021504443,27.69657295852698,171.80150888852287
ramond,7.021911253035147,3.7152473326764945,35.26616181261316,322.2866480722959,0.0,376.7803947041704,501.7849323114046,247.88067017149476,619.8720933766282,452.02372078640286
maxime,12.178192916036242,8.342341823159844,58.67439057587179,49.80854200428311,376.7803947041704,0.0,105.73472708932773,191.90541924185908,174.88984841227082,606.5828921130429
charles,16.80124519462796,13.549316869497414,83.01821451408757,40.37539665657685,501.7849323114046,105.73472708932773,0.0,249.2376492707081,9.931488064965984,55.61950153655275
rougon,2.519064755590828,4.140873054765687,13.873594224946473,10.674250021504443,247.88067017149476,191.90541924185908,249.2376492707081,0.0,479.4667573153123,578.2335037466696
macquart,31.18212861331404,22.239693313162302,123.65894164765452,27.69657295852698,619.8720933766282,174.88984841227082,9.931488064965984,479.4667573153123,0.0,683.7130710276099
uncle macquart,52.60487650859958,24.56639875253562,148.2307174305297,171.80150888852287,452.02372078640286,606.5828921130429,55.61950153655275,578.2335037466696,683.7130710276099,0.0
