,mathieu,marianne,constance,beauchene,norine,morange,blaise,denis,seguin,ambroise
mathieu,0.0,0.8888050287591278,7.176378849301832,2.5306961914406854,7.020662930309685,13.321662983415656,8.665846451326068,7.196413292949876,1.9657463044520618,2.3665628249981556
marianne,0.8888050287591278,0.0,38.80920359707465,17.96324759223225,35.70229625392343,33.840793336246406,16.408621065976675,16.40349654813201,24.098556653990958,14.879321199919788
constance,7.176378849301832,38.80920359707465,0.0,81.07238312422838,94.30242360341,15.780948814772113,14.145445527704753,35.72437166462739,95.44520409763972,54.87719787187927
beauchene,2.5306961914406854,17.96324759223225,81.07238312422838,0.0,117.45166008462742,185.15090530513083,183.36768099599794,353.2643483552456,44.24709329884162,262.0361407943217
norine,7.020662930309685,35.70229625392343,94.30242360341,117.45166008462742,0.0,139.97780653412258,135.0253104871402,227.28726970701248,121.55110441798914,152.5083462348906
morange,13.321662983415656,33.840793336246406,15.780948814772113,185.15090530513083,139.97780653412258,0.0,118.5492209860169,59.781775101516835,150.1911766145226,82.77770207413464
blaise,8.665846451326068,16.408621065976675,14.145445527704753,183.36768099599794,135.0253104871402,118.5492209860169,0.0,133.55128338123606,353.0789624413676,88.0213207060915
denis,7.196413292949876,16.40349654813201,35.72437166462739,353.2643483552456,227.28726970701248,59.781775101516835,133.55128338123606,0.0,583.8804541160691,34.98859751539272
seguin,1.9657463044520618,24.098556653990958,95.44520409763972,44.24709329884162,121.55110441798914,150.1911766145226,353.0789624413676,583.8804541160691,0.0,583.1236546678037
ambroise,2.3665628249981556,14.879321199919788,54.87719787187927,262.0361407943217,152.5083462348906,82.77770207413464,88.0213207060915,34.98859751539272,583.1236546678037,0.0
