,mathieu,marianne,constance,beauchene,norine,morange,blaise,denis,seguin,ambroise
mathieu,0.0,0.46710124292190885,3.3890551124783244,1.256257530018063,3.2755393885558304,6.0783591509100425,3.8792815158998537,3.1629127586505987,0.9442044397561088,1.0322448597988652
marianne,0.46710124292190885,0.0,18.36991559028147,9.041104042666609,16.839842967524664,15.9139243566665,7.343079824148753,7.144514801607355,11.677556476638332,6.4020578938327
constance,3.3890551124783244,18.36991559028147,0.0,39.47289959572812,44.84153465583418,7.647235022029173,6.4518595061472555,15.817014424882549,45.63877309042708,23.79176214065306
beauchene,1.256257530018063,9.041104042666609,39.47289959572812,0.0,57.08930197543585,86.9984021887864,84.3881351606368,158.84211564282748,21.184495221174945,113.81174975528043
norine,3.2755393885558304,16.839842967524664,44.84153465583418,57.08930197543585,0.0,66.23396714100555,61.526177587640554,101.74108685692502,57.850850465675734,66.21161632977234
morange,6.0783591509100425,15.9139243566665,7.647235022029173,86.9984021887864,66.23396714100555,0.0,53.19248475450121,26.657799804783252,69.95910418225388,36.01894862617156
blaise,3.8792815158998537,7.343079824148753,6.4518595061472555,84.3881351606368,61.526177587640554,53.19248475450121,0.0,58.75555128024626,164.2656277208284,37.60506738837365
denis,3.1629127586505987,7.144514801607355,15.817014424882549,158.84211564282748,101.74108685692502,26.657799804783252,58.75555128024626,0.0,266.6261097193073,15.237128195715567
seguin,0.9442044397561088,11.677556476638332,45.63877309042708,21.184495221174945,57.850850465675734,69.95910418225388,164.2656277208284,266.6261097193073,0.0,259.95362679230095
ambroise,1.0322448597988652,6.4020578938327,23.79176214065306,113.81174975528043,66.21161632977234,36.01894862617156,37.60506738837365,15.237128195715567,259.95362679230095,0.0
