,étienne,catherine,maheu,maheude,chaval,zacharie,jeanlin,m. hennebeau,bonnemort,levaque
étienne,0.0,12.294901363166682,22.81080228230101,18.661692221872595,11.015130012239494,12.480210107056163,5.65098051936711,47.02924784536584,12.917555789282407,7.995667210096121
catherine,12.294901363166682,0.0,94.93868697224451,28.941258551717084,2.685028520927963,10.116426504462929,20.55274998919896,78.94546583767061,24.212906788586416,14.178887113900888
maheu,22.81080228230101,94.93868697224451,0.0,65.5162905449649,84.31184675381134,22.898932213516666,16.85610745969564,75.67790091492982,40.05170455788578,1.8136100818802638
maheude,18.661692221872595,28.941258551717084,65.5162905449649,0.0,86.7032458299939,127.72475771434227,104.63715511162385,171.13486970105959,39.928668808467144,58.834800054891154
chaval,11.015130012239494,2.685028520927963,84.31184675381134,86.7032458299939,0.0,278.53823610121003,68.25714112163118,126.20915734474931,73.93293520547559,82.38636045832146
zacharie,12.480210107056163,10.116426504462929,22.898932213516666,127.72475771434227,278.53823610121003,0.0,204.79138543253313,298.5906343530461,71.05256960233717,55.12978380340883
jeanlin,5.65098051936711,20.55274998919896,16.85610745969564,104.63715511162385,68.25714112163118,204.79138543253313,0.0,121.38886558616592,52.722904817806274,50.408411836361125
m. hennebeau,47.02924784536584,78.94546583767061,75.67790091492982,171.13486970105959,126.20915734474931,298.5906343530461,121.38886558616592,0.0,218.3653259196435,358.63277437076744
bonnemort,12.917555789282407,24.212906788586416,40.05170455788578,39.928668808467144,73.93293520547559,71.05256960233717,52.722904817806274,218.3653259196435,0.0,271.9147669477481
levaque,7.995667210096121,14.178887113900888,1.8136100818802638,58.834800054891154,82.38636045832146,55.12978380340883,50.408411836361125,358.63277437076744,271.9147669477481,0.0
