,étienne,catherine,maheu,maheude,chaval,zacharie,jeanlin,m. hennebeau,bonnemort,levaque
étienne,0.0,6.366665645947635,11.809482372717444,8.99989345540949,5.039609267242755,6.054983987423459,2.712908534219526,20.57882678354243,5.830375255181844,3.679235205099033
catherine,6.366665645947635,0.0,46.59037975093108,13.655972743200875,1.2194027880354577,4.682649025015421,9.260682089478033,34.70794301685012,10.731238398216838,6.23380335917565
maheu,11.809482372717444,46.59037975093108,0.0,30.11767728644534,37.702579671625955,10.541944688081417,7.617170378189994,32.814047095069746,17.680015404644845,0.8290233382527155
maheude,8.99989345540949,13.655972743200875,30.11767728644534,0.0,40.34967814661026,62.300751087765065,47.78473371697318,74.07275961849805,18.42524885694671,27.559915473427647
chaval,5.039609267242755,1.2194027880354577,37.702579671625955,40.34967814661026,0.0,132.18533168307894,31.77905728026067,55.614490001017366,33.61708681382392,37.9524134772969
zacharie,6.054983987423459,4.682649025015421,10.541944688081417,62.300751087765065,132.18533168307894,0.0,95.02414865274146,133.94170360371962,30.8739937152877,23.58514270235208
jeanlin,2.712908534219526,9.260682089478033,7.617170378189994,47.78473371697318,31.77905728026067,95.02414865274146,0.0,53.27466419645618,23.490313414803683,23.447911996020768
m. hennebeau,20.57882678354243,34.70794301685012,32.814047095069746,74.07275961849805,55.614490001017366,133.94170360371962,53.27466419645618,0.0,98.34934911660054,161.77437807141789
bonnemort,5.830375255181844,10.731238398216838,17.680015404644845,18.42524885694671,33.61708681382392,30.8739937152877,23.490313414803683,98.34934911660054,0.0,121.24580170149223
levaque,3.679235205099033,6.23380335917565,0.8290233382527155,27.559915473427647,37.9524134772969,23.58514270235208,23.447911996020768,161.77437807141789,121.24580170149223,0.0
