,étienne,catherine,maheu,maheude,chaval,zacharie,jeanlin,m. hennebeau,bonnemort,levaque
étienne,0.0,23.626662485250048,43.758414855877504,38.391123311078566,23.87223822197077,25.624614428804144,11.710828420706624,106.47151922489783,28.47698502533328,17.282961207556426
catherine,23.626662485250048,0.0,191.91105131762663,60.83836116602805,5.862336338203515,21.703070110983813,45.20839508622991,177.89162593899448,54.38590338384272,31.986727857220675
maheu,43.758414855877504,191.91105131762663,0.0,141.39331861677783,186.79036793716014,49.468371818889906,37.02766933141899,172.8964875177046,90.411733780362,3.946629572036161
maheude,38.391123311078566,60.83836116602805,141.39331861677783,0.0,184.83331284533907,260.03041007354153,227.621267677845,391.7963445264176,86.19582273602886,124.75510118399767
chaval,23.87223822197077,5.862336338203515,186.79036793716014,184.83331284533907,0.0,582.8172162551696,145.64421500034618,283.76457664138746,161.89757926677296,177.70254540937609
zacharie,25.624614428804144,21.703070110983813,49.468371818889906,260.03041007354153,582.8172162551696,0.0,437.8150884156888,659.7105901277303,162.60310346590617,127.78343103167661
jeanlin,11.710828420706624,45.20839508622991,37.02766933141899,227.621267677845,145.64421500034618,437.8150884156888,0.0,274.0384399761405,117.79387243818745,107.73907133318271
m. hennebeau,106.47151922489783,177.89162593899448,172.8964875177046,391.7963445264176,283.76457664138746,659.7105901277303,274.0384399761405,0.0,481.5505825318262,788.8214052137163
bonnemort,28.47698502533328,54.38590338384272,90.411733780362,86.19582273602886,161.89757926677296,162.60310346590617,117.79387243818745,481.5505825318262,0.0,606.0606526467268
levaque,17.282961207556426,31.986727857220675,3.946629572036161,124.75510118399767,177.70254540937609,127.78343103167661,107.73907133318271,788.8214052137163,606.0606526467268,0.0
