,rougon,clorinde,m. kahn,du poizat,delestang,gilquin,madame correur,m. la rouquette,m. béjuin,merle
rougon,0.0,0.5902114879818844,1.359298479440295,0.7549053793558991,0.3640705517205726,4.547123358281151,1.4849310785092396,2.6784815018477155,1.009085162153014,0.462546515538469
clorinde,0.5902114879818844,0.0,17.094085752504213,18.260149175150183,5.981719278418048,27.779819215904524,11.738667324426656,9.41007907661874,14.278208374803182,26.31395308532995
m. kahn,1.359298479440295,17.094085752504213,0.0,36.42049891927094,35.517154658591046,41.47601363952607,14.292437277087886,29.009682109409006,1.229200042373915,20.897785361906134
du poizat,0.7549053793558991,18.260149175150183,36.42049891927094,0.0,38.31648595699093,47.0303815010223,31.014010916860304,85.69390450653627,43.27860232338942,26.976114029484418
delestang,0.3640705517205726,5.981719278418048,35.517154658591046,38.31648595699093,0.0,62.568618643234174,37.83570901011924,35.332546691539385,37.73075045615729,55.11870474155063
gilquin,4.547123358281151,27.779819215904524,41.47601363952607,47.0303815010223,62.568618643234174,0.0,35.38701159777943,145.1538509084505,122.71776466204005,87.2411997938331
madame correur,1.4849310785092396,11.738667324426656,14.292437277087886,31.014010916860304,37.83570901011924,35.38701159777943,0.0,108.02372543916117,60.722220448608624,71.55830914178864
m. la rouquette,2.6784815018477155,9.41007907661874,29.009682109409006,85.69390450653627,35.332546691539385,145.1538509084505,108.02372543916117,0.0,83.24958924444556,139.21787143483402
m. béjuin,1.009085162153014,14.278208374803182,1.229200042373915,43.27860232338942,37.73075045615729,122.71776466204005,60.722220448608624,83.24958924444556,0.0,96.82556414779263
merle,0.462546515538469,26.31395308532995,20.897785361906134,26.976114029484418,55.11870474155063,87.2411997938331,71.55830914178864,139.21787143483402,96.82556414779263,0.0
