,gervaise,coupeau,lantier,nana,virginie,boche,goujet,mon dieu,madame lerat,madame boche
gervaise,0.0,3.4629308973767956,3.214228897442481,10.786762195626826,1.0599780030526853,3.222018987906002,1.7880569774357835,1.3564656035229754,6.476033740580863,2.1251809017520538
coupeau,3.4629308973767956,0.0,10.05639562964939,18.301218690030527,22.29358626141045,4.329060346792927,14.929236730953754,4.1609995294766495,6.3509561106889345,19.517089953207876
lantier,3.214228897442481,10.05639562964939,0.0,130.96087439656768,71.00406653381368,172.30869916923044,158.05444886632887,128.6610115758332,80.91097535887879,219.81395765701646
nana,10.786762195626826,18.301218690030527,130.96087439656768,0.0,218.37069122415912,346.9756209123889,166.69683376639873,63.257883197736334,34.78104125469115,626.3210503560364
virginie,1.0599780030526853,22.29358626141045,71.00406653381368,218.37069122415912,0.0,95.4834185250774,75.20999761100099,112.64080401567053,70.92449238504499,88.92333173906731
boche,3.222018987906002,4.329060346792927,172.30869916923044,346.9756209123889,95.4834185250774,0.0,171.57528332907566,472.8897282032135,212.70095696719943,103.3954039572126
goujet,1.7880569774357835,14.929236730953754,158.05444886632887,166.69683376639873,75.20999761100099,171.57528332907566,0.0,401.3286767543974,275.7593329800277,423.6565725808961
mon dieu,1.3564656035229754,4.1609995294766495,128.6610115758332,63.257883197736334,112.64080401567053,472.8897282032135,401.3286767543974,0.0,264.37386711010856,1052.1711566324661
madame lerat,6.476033740580863,6.3509561106889345,80.91097535887879,34.78104125469115,70.92449238504499,212.70095696719943,275.7593329800277,264.37386711010856,0.0,757.2487903140685
madame boche,2.1251809017520538,19.517089953207876,219.81395765701646,626.3210503560364,88.92333173906731,103.3954039572126,423.6565725808961,1052.1711566324661,757.2487903140685,0.0
