,gervaise,coupeau,lantier,nana,virginie,boche,goujet,mon dieu,madame lerat,madame boche
gervaise,0.0,6.197709278040002,6.677507734530885,23.404446412184004,2.1118267942923437,6.711820241908115,3.960580709073661,3.1254674286709005,14.950059011594448,4.3324670138281105
coupeau,6.197709278040002,0.0,19.909147147666083,39.784309860591684,44.59457149870106,8.9515792098158,33.066425478541376,9.639131158109912,14.68510418605941,37.22504404146117
lantier,6.677507734530885,19.909147147666083,0.0,276.6288378916643,144.14495622603977,359.5811780182366,348.6316762248485,296.1509741118495,176.1592163454933,469.933139242182
nana,23.404446412184004,39.784309860591684,276.6288378916643,0.0,452.90084828876576,750.2350971381749,375.0531833158519,146.76907791023964,76.39847505126687,1353.6285037274051
virginie,2.1118267942923437,44.59457149870106,144.14495622603977,452.90084828876576,0.0,195.9751088587937,165.7479720023324,260.34473051660507,154.99545032633839,183.88374287788784
boche,6.711820241908115,8.9515792098158,359.5811780182366,750.2350971381749,195.9751088587937,0.0,373.68482479048373,1066.8046818247774,487.8033713468568,211.24116945810604
goujet,3.960580709073661,33.066425478541376,348.6316762248485,375.0531833158519,165.7479720023324,373.68482479048373,0.0,920.1925069782505,627.8167682584301,900.3608797295933
mon dieu,3.1254674286709005,9.639131158109912,296.1509741118495,146.76907791023964,260.34473051660507,1066.8046818247774,920.1925069782505,0.0,606.7787800539633,2332.005511777812
madame lerat,14.950059011594448,14.68510418605941,176.1592163454933,76.39847505126687,154.99545032633839,487.8033713468568,627.8167682584301,606.7787800539633,0.0,1655.0473571617301
madame boche,4.3324670138281105,37.22504404146117,469.933139242182,1353.6285037274051,183.88374287788784,211.24116945810604,900.3608797295933,2332.005511777812,1655.0473571617301,0.0
