,maurice,jean,henriette,delaherche,weiss,loubet,silvine,honore,gilberte,fouchard
maurice,0.0,2.394411742467669,7.662602256968759,16.461831888086557,12.170207755172886,1.7145492230785684,33.22812886214078,8.715079738488686,28.955126381040646,27.0085884197931
jean,2.394411742467669,0.0,7.59282222401747,20.903037404747533,18.76387329625949,1.7475730130274798,22.341427966891207,12.466317779404353,28.691267628673916,15.306500106225256
henriette,7.662602256968759,7.59282222401747,0.0,51.49224039758745,134.16152666002714,172.08316690079488,50.00252264208936,110.6483422862577,10.248126234979678,39.725165955317735
delaherche,16.461831888086557,20.903037404747533,51.49224039758745,0.0,193.22581209922532,252.53121065515808,115.56934053250887,122.60766005383638,23.573866549002158,122.7608097187271
weiss,12.170207755172886,18.76387329625949,134.16152666002714,193.22581209922532,0.0,156.1921741265132,366.0613196248333,159.4390215752462,303.27331707675296,424.41888253438225
loubet,1.7145492230785684,1.7475730130274798,172.08316690079488,252.53121065515808,156.1921741265132,0.0,438.5175848231189,91.68810857644938,339.58746274263984,330.62268763672364
silvine,33.22812886214078,22.341427966891207,50.00252264208936,115.56934053250887,366.0613196248333,438.5175848231189,0.0,307.4074661343377,148.9183794908465,18.925990165867674
honore,8.715079738488686,12.466317779404353,110.6483422862577,122.60766005383638,159.4390215752462,91.68810857644938,307.4074661343377,0.0,310.9108064765585,278.6258882656002
gilberte,28.955126381040646,28.691267628673916,10.248126234979678,23.573866549002158,303.27331707675296,339.58746274263984,148.9183794908465,310.9108064765585,0.0,192.45716163093167
fouchard,27.0085884197931,15.306500106225256,39.725165955317735,122.7608097187271,424.41888253438225,330.62268763672364,18.925990165867674,278.6258882656002,192.45716163093167,0.0
