,maurice,jean,henriette,delaherche,weiss,loubet,silvine,honore,gilberte,fouchard
maurice,0.0,9.626624865899604,36.59052929914966,84.98080447435477,59.01628312866233,7.5733237321877125,193.339571371305,48.6995208769538,173.47730175449286,169.90424087793008
jean,9.626624865899604,0.0,35.36567357655183,107.62153296051352,89.0883859471506,7.805876384662627,127.9899773763919,66.61728422162255,169.56367777839526,93.53774778068151
henriette,36.59052929914966,35.36567357655183,0.0,266.49599116227887,647.6327317174563,824.3796924421048,279.24820095965833,572.8739247905759,60.50941446597881,226.64443273159029
delaherche,84.98080447435477,107.62153296051352,266.49599116227887,0.0,937.5708239561828,1223.8796030978676,647.381447957499,636.9093888355009,141.36889188360394,713.3019080352786
weiss,59.01628312866233,89.0883859471506,647.6327317174563,937.5708239561828,0.0,755.0337926521833,2004.9496841153548,831.9253482491739,1781.4688582138526,2472.6361531823254
loubet,7.5733237321877125,7.805876384662627,824.3796924421048,1223.8796030978676,755.0337926521833,0.0,2265.2558636342164,488.92902802886493,1912.2399020582332,1916.2884501961162
silvine,193.339571371305,127.9899773763919,279.24820095965833,647.381447957499,2004.9496841153548,2265.2558636342164,0.0,1683.3399159129879,867.2223550869502,105.23666632042712
honore,48.6995208769538,66.61728422162255,572.8739247905759,636.9093888355009,831.9253482491739,488.92902802886493,1683.3399159129879,0.0,1773.766353587268,1645.9785390621478
gilberte,173.47730175449286,169.56367777839526,60.50941446597881,141.36889188360394,1781.4688582138526,1912.2399020582332,867.2223550869502,1773.766353587268,0.0,1114.3577328797878
fouchard,169.90424087793008,93.53774778068151,226.64443273159029,713.3019080352786,2472.6361531823254,1916.2884501961162,105.23666632042712,1645.9785390621478,1114.3577328797878,0.0
