,florent,lisa,quenu,mademoiselle saget,gavard,claude,marjolin,cadine,la sarriette,monsieur lebigre
florent,0.0,5.407932965490662,1.8909304334335024,4.734333327827168,0.6595731072230561,2.0329821091215607,35.01314645961969,39.674359048441396,6.825572620069033,1.220929348305905
lisa,5.407932965490662,0.0,1.472710502006327,7.153204613665951,5.205760572142006,21.309362482194487,15.34139397734573,23.472640150995208,10.873232857131654,6.66509185971592
quenu,1.8909304334335024,1.472710502006327,0.0,125.22364941923198,29.46524854789714,53.201795694253214,92.7516105585973,86.71380575679608,79.97090164386549,47.488165293935346
mademoiselle saget,4.734333327827168,7.153204613665951,125.22364941923198,0.0,91.83737646964367,82.08165055071467,80.11902800343177,82.63508544758497,4.440979708599559,30.500559008430116
gavard,0.6595731072230561,5.205760572142006,29.46524854789714,91.83737646964367,0.0,88.07794925169502,87.66194359316842,90.48672909786437,94.31562084592524,18.645639583598783
claude,2.0329821091215607,21.309362482194487,53.201795694253214,82.08165055071467,88.07794925169502,0.0,110.70119774683495,121.76691488788305,65.07319548220853,90.0588782884387
marjolin,35.01314645961969,15.34139397734573,92.7516105585973,80.11902800343177,87.66194359316842,110.70119774683495,0.0,8.336573025892553,138.5785476873694,90.52012885193702
cadine,39.674359048441396,23.472640150995208,86.71380575679608,82.63508544758497,90.48672909786437,121.76691488788305,8.336573025892553,0.0,149.2605871652137,99.97561915170023
la sarriette,6.825572620069033,10.873232857131654,79.97090164386549,4.440979708599559,94.31562084592524,65.07319548220853,138.5785476873694,149.2605871652137,0.0,97.81718788872274
monsieur lebigre,1.220929348305905,6.66509185971592,47.488165293935346,30.500559008430116,18.645639583598783,90.0588782884387,90.52012885193702,99.97561915170023,97.81718788872274,0.0
