,florent,lisa,quenu,mademoiselle saget,gavard,claude,marjolin,cadine,la sarriette,monsieur lebigre
florent,0.0,19.063933960626443,7.565701793625864,22.799428060567198,3.013154009350585,9.526127365421916,174.73745658761175,199.66230703761082,36.33292104072319,6.352549176598853
lisa,19.063933960626443,0.0,5.5030822569436815,33.8663382162204,23.028621051128653,85.66392766184808,74.35850185980773,115.79511587504784,57.602637506469634,33.406239464564536
quenu,7.565701793625864,5.5030822569436815,0.0,558.2982613619753,131.3103552972347,229.94360302934228,444.68016983167547,424.4590026744001,417.05230561005493,248.88814706160545
mademoiselle saget,22.799428060567198,33.8663382162204,558.2982613619753,0.0,422.6865473778783,360.1384571227155,400.84977366436516,416.9701689122246,22.844519678549833,157.55199510432547
gavard,3.013154009350585,23.028621051128653,131.3103552972347,422.6865473778783,0.0,382.1538896606222,420.87635908871755,442.3322854733516,492.26305766812953,97.52882493677593
claude,9.526127365421916,85.66392766184808,229.94360302934228,360.1384571227155,382.1538896606222,0.0,518.851967579713,585.5476462501258,332.20681238791684,479.33307979960546
marjolin,174.73745658761175,74.35850185980773,444.68016983167547,400.84977366436516,420.87635908871755,518.851967579713,0.0,40.28367298015501,717.7651457401765,471.9692312748772
cadine,199.66230703761082,115.79511587504784,424.4590026744001,416.9701689122246,442.3322854733516,585.5476462501258,40.28367298015501,0.0,774.8451102013145,521.5789922302521
la sarriette,36.33292104072319,57.602637506469634,417.05230561005493,22.844519678549833,492.26305766812953,332.20681238791684,717.7651457401765,774.8451102013145,0.0,514.4888023694698
monsieur lebigre,6.352549176598853,33.406239464564536,248.88814706160545,157.55199510432547,97.52882493677593,479.33307979960546,471.9692312748772,521.5789922302521,514.4888023694698,0.0
