,silvere,miette,felicite,pierre,rougon,macquart,granoux,antoine,aristide,eugene
silvere,0.0,12.699869209453519,104.84701089071514,91.06209817838523,103.61906214575208,60.90839463904339,127.09367236917817,110.1170974944576,176.55959671848217,295.89245268613047
miette,12.699869209453519,0.0,121.42048023031366,106.05285615080722,122.07954044404558,107.99487082548417,185.70194878316403,169.99516045408978,227.87099989507934,327.81856773162343
felicite,104.84701089071514,121.42048023031366,0.0,39.75710292662217,72.72626194486622,44.54108369289025,18.32939381223112,66.17887166233987,9.579592393759992,24.34313678237864
pierre,91.06209817838523,106.05285615080722,39.75710292662217,0.0,120.3201645554408,30.246032655112362,18.264960352658047,29.269810993682707,11.03435165426546,25.332276896954095
rougon,103.61906214575208,122.07954044404558,72.72626194486622,120.3201645554408,0.0,70.57169240150996,18.368825969788872,199.3467802272482,105.96713296138459,246.18688862875575
macquart,60.90839463904339,107.99487082548417,44.54108369289025,30.246032655112362,70.57169240150996,0.0,89.63144231964856,90.19473269074297,94.75445345848246,190.35882692486967
granoux,127.09367236917817,185.70194878316403,18.32939381223112,18.264960352658047,18.368825969788872,89.63144231964856,0.0,332.4327739200378,156.46745428919928,309.687501513184
antoine,110.1170974944576,169.99516045408978,66.17887166233987,29.269810993682707,199.3467802272482,90.19473269074297,332.4327739200378,0.0,228.5849369309731,165.40789760877294
aristide,176.55959671848217,227.87099989507934,9.579592393759992,11.03435165426546,105.96713296138459,94.75445345848246,156.46745428919928,228.5849369309731,0.0,142.03089018583933
eugene,295.89245268613047,327.81856773162343,24.34313678237864,25.332276896954095,246.18688862875575,190.35882692486967,309.687501513184,165.40789760877294,142.03089018583933,0.0
