,silvere,miette,felicite,pierre,rougon,macquart,granoux,antoine,aristide,eugene
silvere,0.0,6.56801502392681,52.762803612360116,46.39127855503428,49.66417155613932,28.7298091669533,58.03928320940704,52.12001849301849,82.1799953865429,137.66412188482275
miette,6.56801502392681,0.0,61.265234603589874,54.10724875867846,58.520022940367404,50.660740910986256,84.84305449471225,79.5208112199888,107.00792446183576,156.12561758896197
felicite,52.762803612360116,61.265234603589874,0.0,19.792709910337063,35.25098598533082,21.329954047596004,8.194984069958954,31.8762655128158,4.425128826858447,11.479945677750786
pierre,46.39127855503428,54.10724875867846,19.792709910337063,0.0,58.1982685319014,14.273164197244737,8.175128703673401,13.89392551838538,5.080775249699562,11.895976298835876
rougon,49.66417155613932,58.520022940367404,35.25098598533082,58.1982685319014,0.0,33.05579973355919,8.740234969009187,92.11701520672956,48.998723965818016,113.20697523561262
macquart,28.7298091669533,50.660740910986256,21.329954047596004,14.273164197244737,33.05579973355919,0.0,41.069160414701926,42.11068955091636,44.27955086075734,89.16534898820316
granoux,58.03928320940704,84.84305449471225,8.194984069958954,8.175128703673401,8.740234969009187,41.069160414701926,0.0,153.23239748326017,71.70381170439579,141.1596253075063
antoine,52.12001849301849,79.5208112199888,31.8762655128158,13.89392551838538,92.11701520672956,42.11068955091636,153.23239748326017,0.0,103.94278206960514,76.81180547133177
aristide,82.1799953865429,107.00792446183576,4.425128826858447,5.080775249699562,48.998723965818016,44.27955086075734,71.70381170439579,103.94278206960514,0.0,64.13894963684707
eugene,137.66412188482275,156.12561758896197,11.479945677750786,11.895976298835876,113.20697523561262,89.16534898820316,141.1596253075063,76.81180547133177,64.13894963684707,0.0
