,pauline,lazare,chanteau,louise,véronique,madame chanteau,matthew,minouche,cazenove,abbé horteur
pauline,0.0,3.8009322161308243,3.4510655622821402,1.6752117550332517,2.5114971843060423,1.462698341391969,10.756775506941231,5.470103306759302,5.086574898368529,11.607881624547433
lazare,3.8009322161308243,0.0,5.635174658934005,5.386295345964886,4.035729185953369,3.080808130516366,5.0009179348611825,6.832491970234166,6.252374315438487,7.571074563058772
chanteau,3.4510655622821402,5.635174658934005,0.0,144.62528683406262,9.614100681539538,7.817661116929852,28.410080363668055,11.46416542339298,10.352482588639315,19.619788112174387
louise,1.6752117550332517,5.386295345964886,144.62528683406262,0.0,86.69151638330347,199.19407532916077,233.23099017078312,158.51507673326228,107.88430939945516,376.26872931699404
véronique,2.5114971843060423,4.035729185953369,9.614100681539538,86.69151638330347,0.0,226.17490034512466,47.546606361756126,40.82599872761607,50.222173406255784,72.08198924806128
madame chanteau,1.462698341391969,3.080808130516366,7.817661116929852,199.19407532916077,226.17490034512466,0.0,137.95504800386914,217.74843168033775,386.589492431392,505.6900526289155
matthew,10.756775506941231,5.0009179348611825,28.410080363668055,233.23099017078312,47.546606361756126,137.95504800386914,0.0,165.1465358976715,514.3775320556864,330.3607115633666
minouche,5.470103306759302,6.832491970234166,11.46416542339298,158.51507673326228,40.82599872761607,217.74843168033775,165.1465358976715,0.0,260.9593058064433,497.4554616080698
cazenove,5.086574898368529,6.252374315438487,10.352482588639315,107.88430939945516,50.222173406255784,386.589492431392,514.3775320556864,260.9593058064433,0.0,567.9750259054409
abbé horteur,11.607881624547433,7.571074563058772,19.619788112174387,376.26872931699404,72.08198924806128,505.6900526289155,330.3607115633666,497.4554616080698,567.9750259054409,0.0
