,denise,mouret,hutin,bourdoncle,pauline,robineau,favier,madame desforges,baudu,henriette
denise,0.0,11.897862959472665,11.24578042858217,11.391608403579825,1.0820411071959661,6.150029455273079,17.6054211865171,14.68261815799044,3.2796409833928135,41.85769909837488
mouret,11.897862959472665,0.0,40.60212425902055,1.175095895293656,45.3769034805608,48.50265612408349,24.494962863413047,12.663536935493223,51.83628455256885,2.8531135693735745
hutin,11.24578042858217,40.60212425902055,0.0,183.39944607690754,52.571589418035686,94.34157169348804,21.114926248839268,94.99841167176234,267.1328601862662,179.03240607677174
bourdoncle,11.391608403579825,1.175095895293656,183.39944607690754,0.0,265.57283081903154,192.85854332489592,199.92055684329,160.69374697963534,152.679588027265,161.87919165699915
pauline,1.0820411071959661,45.3769034805608,52.571589418035686,265.57283081903154,0.0,165.28480120734824,89.06259736793969,166.88216718089438,352.3551064823327,250.68716846324307
robineau,6.150029455273079,48.50265612408349,94.34157169348804,192.85854332489592,165.28480120734824,0.0,148.6189794526947,251.4905749519823,170.20182871877034,383.7724135848319
favier,17.6054211865171,24.494962863413047,21.114926248839268,199.92055684329,89.06259736793969,148.6189794526947,0.0,110.29571037001445,324.9858864871456,170.69691861765543
madame desforges,14.68261815799044,12.663536935493223,94.99841167176234,160.69374697963534,166.88216718089438,251.4905749519823,110.29571037001445,0.0,328.20671860828406,153.37167141570706
baudu,3.2796409833928135,51.83628455256885,267.1328601862662,152.679588027265,352.3551064823327,170.20182871877034,324.9858864871456,328.20671860828406,0.0,459.3396078589123
henriette,41.85769909837488,2.8531135693735745,179.03240607677174,161.87919165699915,250.68716846324307,383.7724135848319,170.69691861765543,153.37167141570706,459.3396078589123,0.0
