,buteau,jean,françoise,lise,fouan,hyacinthe,delhomme,hourdequin,macqueron,jacqueline
buteau,0.0,14.84253219375575,5.26984549589648,9.016610281088532,3.2837941011117002,6.4223318956101485,4.430722929151239,30.073665072715986,22.551011489207216,36.344169110727805
jean,14.84253219375575,0.0,6.373825418659333,7.5557000559092575,20.93912967134593,38.21742402072897,16.312747450765496,23.64882343962489,46.57679587299598,6.810487552373862
françoise,5.26984549589648,6.373825418659333,0.0,26.28651496652443,27.331347244413934,44.09137624761775,31.098448213041245,31.433689652617247,44.85712896919004,31.238669306989085
lise,9.016610281088532,7.5557000559092575,26.28651496652443,0.0,46.00541508982532,61.281349076819104,34.56252735413191,40.18608208280544,55.59069352830926,36.10637301324039
fouan,3.2837941011117002,20.93912967134593,27.331347244413934,46.00541508982532,0.0,39.137857986629186,24.258192411618552,80.68499665150732,51.26463686567787,83.16758948964855
hyacinthe,6.4223318956101485,38.21742402072897,44.09137624761775,61.281349076819104,39.137857986629186,0.0,60.4710436565323,83.11883684063727,41.202603287549735,143.66553052758906
delhomme,4.430722929151239,16.312747450765496,31.098448213041245,34.56252735413191,24.258192411618552,60.4710436565323,0.0,114.90291904007253,69.10372237434682,121.7244754249597
hourdequin,30.073665072715986,23.64882343962489,31.433689652617247,40.18608208280544,80.68499665150732,83.11883684063727,114.90291904007253,0.0,84.2979887899621,132.04420029513784
macqueron,22.551011489207216,46.57679587299598,44.85712896919004,55.59069352830926,51.26463686567787,41.202603287549735,69.10372237434682,84.2979887899621,0.0,316.0748145450649
jacqueline,36.344169110727805,6.810487552373862,31.238669306989085,36.10637301324039,83.16758948964855,143.66553052758906,121.7244754249597,132.04420029513784,316.0748145450649,0.0
