,pierre,guillaume,salvat,marie,gerard,duthil,duvillard,massot,silviane,thomas
pierre,0.0,4.460550110617727,3.876509294826982,1.8797631052704207,31.84211894577098,13.994121783645253,31.896938712107286,12.302312480820694,27.851062557692583,4.63375261320585
guillaume,4.460550110617727,0.0,14.493045577164011,3.557183582110295,122.39442075198079,76.53098560468938,87.01633632935254,64.56543658653715,80.9584452305644,12.415091038386901
salvat,3.876509294826982,14.493045577164011,0.0,104.8132103738464,91.23622709430882,48.82079073608982,81.50167225967478,64.74720962952757,76.8384814695137,92.99307309224577
marie,1.8797631052704207,3.557183582110295,104.8132103738464,0.0,435.1633440210801,256.48637037082284,249.98374647914343,235.6390656067419,254.97963891103228,59.94305605329144
gerard,31.84211894577098,122.39442075198079,91.23622709430882,435.1633440210801,0.0,137.93416408491152,229.79518545842774,202.22725382197004,192.21274733926703,583.560484903581
duthil,13.994121783645253,76.53098560468938,48.82079073608982,256.48637037082284,137.93416408491152,0.0,153.4274987542528,35.5098934093296,47.68238220673909,297.4098318102205
duvillard,31.896938712107286,87.01633632935254,81.50167225967478,249.98374647914343,229.79518545842774,153.4274987542528,0.0,224.31113469605273,43.02839773816904,359.72430730664706
massot,12.302312480820694,64.56543658653715,64.74720962952757,235.6390656067419,202.22725382197004,35.5098934093296,224.31113469605273,0.0,131.63924997895214,273.04500511507166
silviane,27.851062557692583,80.9584452305644,76.8384814695137,254.97963891103228,192.21274733926703,47.68238220673909,43.02839773816904,131.63924997895214,0.0,333.5835117098313
thomas,4.63375261320585,12.415091038386901,92.99307309224577,59.94305605329144,583.560484903581,297.4098318102205,359.72430730664706,273.04500511507166,333.5835117098313,0.0
