,pierre,guillaume,salvat,marie,gerard,duthil,duvillard,massot,silviane,thomas
pierre,0.0,2.2444756723796435,1.8365496528731193,0.8582047389559336,15.00518371574259,6.496805764071225,14.111466642241826,5.613465952429431,12.14110228731054,1.964919062686052
guillaume,2.2444756723796435,0.0,7.262418960657412,1.618363658428622,58.33986209368865,36.60018939770108,39.17916428688289,30.698358463616433,36.09322023141403,5.257722014008371
salvat,1.8365496528731193,7.262418960657412,0.0,47.74894742131157,43.34970504082678,23.17159484407642,36.314796320008945,30.757649423945317,33.56641578000479,38.92558315160887
marie,0.8582047389559336,1.618363658428622,47.74894742131157,0.0,199.5646687750311,117.99823015471549,111.38703498817198,107.36072074690767,111.43405519585279,25.411114604367242
gerard,15.00518371574259,58.33986209368865,43.34970504082678,199.5646687750311,0.0,61.88943368808344,104.57157951645176,90.96158005950409,82.54488242959552,251.05583194202504
duthil,6.496805764071225,36.60018939770108,23.17159484407642,117.99823015471549,61.88943368808344,0.0,69.94362268450686,16.69674597467222,20.427903110671185,127.80545824251645
duvillard,14.111466642241826,39.17916428688289,36.314796320008945,111.38703498817198,104.57157951645176,69.94362268450686,0.0,102.29380266526188,18.65237542722411,154.1569278435469
massot,5.613465952429431,30.698358463616433,30.757649423945317,107.36072074690767,90.96158005950409,16.69674597467222,102.29380266526188,0.0,58.08806980616697,118.39517850424257
silviane,12.14110228731054,36.09322023141403,33.56641578000479,111.43405519585279,82.54488242959552,20.427903110671185,18.65237542722411,58.08806980616697,0.0,144.02611394298586
thomas,1.964919062686052,5.257722014008371,38.92558315160887,25.411114604367242,251.05583194202504,127.80545824251645,154.1569278435469,118.39517850424257,144.02611394298586,0.0
