,pierre,guillaume,salvat,marie,gerard,duthil,duvillard,massot,silviane,thomas
pierre,0.0,8.785668488824129,8.116666103786606,4.080005325881179,67.13783801037175,30.009637971101593,71.4438468397314,26.805936700310216,63.366577091597755,10.830191210795844
guillaume,8.785668488824129,0.0,28.745982515143368,7.746076030793338,254.92781005308302,159.0209812632997,191.7286252708357,134.9239271809586,180.30748916101177,29.05597335213677
salvat,8.116666103786606,28.745982515143368,0.0,227.9006420773268,190.8159063290884,102.3934870561252,181.33936374499586,135.7187657581613,174.54359671777968,220.08403799204712
marie,4.080005325881179,7.746076030793338,227.9006420773268,0.0,941.3940812517089,553.4348083490586,556.1157194019539,513.3077399784253,578.5924249309994,140.16038161164354
gerard,67.13783801037175,254.92781005308302,190.8159063290884,941.3940812517089,0.0,304.9093623162169,500.9047805542191,446.2563682440958,443.38265474548786,1344.2398979143454
duthil,30.009637971101593,159.0209812632997,102.3934870561252,553.4348083490586,304.9093623162169,0.0,333.97103375694576,75.12288945032226,110.29083505530404,686.1162321249003
duvillard,71.4438468397314,191.7286252708357,181.33936374499586,556.1157194019539,500.9047805542191,333.97103375694576,0.0,488.0205364856253,98.45483611246352,831.7874532490006
massot,26.805936700310216,134.9239271809586,135.7187657581613,513.3077399784253,446.2563682440958,75.12288945032226,488.0205364856253,0.0,295.9357399044856,624.723929770858
silviane,63.366577091597755,180.30748916101177,174.54359671777968,578.5924249309994,443.38265474548786,110.29083505530404,98.45483611246352,295.9357399044856,0.0,766.0318653774768
thomas,10.830191210795844,29.05597335213677,220.08403799204712,140.16038161164354,1344.2398979143454,686.1162321249003,831.7874532490006,624.723929770858,766.0318653774768,0.0
