,pierre,benedetta,dario,nani,don vigilio,narcisse,leo xiii,victorine,donna serafina,boccanera
pierre,0.0,2.6934565566343305,2.6601887344399895,1.6617131716321425,0.9322102303758131,1.0998218963456932,1.6457491457214384,2.0301545176373,2.268671911616272,2.0012339851055287
benedetta,2.6934565566343305,0.0,9.811226197207267,52.76759874261929,48.64614950288307,75.37819746054497,64.54989844804071,36.5156664856687,13.62118187649211,76.7473334230181
dario,2.6601887344399895,9.811226197207267,0.0,81.22328296908499,84.89953491935856,92.38742622032085,100.5813272642619,81.38635834167303,43.41249632622794,140.24578881550886
nani,1.6617131716321425,52.76759874261929,81.22328296908499,0.0,117.80699334341614,216.60743996232557,174.30110612773004,184.26696695296192,79.24070747870533,81.93477697970438
don vigilio,0.9322102303758131,48.64614950288307,84.89953491935856,117.80699334341614,0.0,429.9961070107256,200.41791690444592,128.48111814516855,81.74477193139393,67.03319046892123
narcisse,1.0998218963456932,75.37819746054497,92.38742622032085,216.60743996232557,429.9961070107256,0.0,317.3791324111424,493.2745163287217,300.6652801942636,403.79725236931034
leo xiii,1.6457491457214384,64.54989844804071,100.5813272642619,174.30110612773004,200.41791690444592,317.3791324111424,0.0,152.5437836841169,186.06274491390673,242.91963850682106
victorine,2.0301545176373,36.5156664856687,81.38635834167303,184.26696695296192,128.48111814516855,493.2745163287217,152.5437836841169,0.0,210.6027894711573,262.4136583721571
donna serafina,2.268671911616272,13.62118187649211,43.41249632622794,79.24070747870533,81.74477193139393,300.6652801942636,186.06274491390673,210.6027894711573,0.0,190.66763410173363
boccanera,2.0012339851055287,76.7473334230181,140.24578881550886,81.93477697970438,67.03319046892123,403.79725236931034,242.91963850682106,262.4136583721571,190.66763410173363,0.0
