,therese,laurent,camille,madame raquin,raquin,michaud,grivet,olivier,suzanne,francois
therese,0.0,5.05185592363517,1.135833351597591,0.8769248114463964,0.8815295288732534,2.0789589474622185,3.623653267839414,3.8945954330736843,2.5427387109509993,12.879025490891088
laurent,5.05185592363517,0.0,3.6833428840346634,1.8867895728387418,6.613127433497769,2.711265164243643,3.962677211215246,4.646232816032305,6.224176547495598,7.585770304768234
camille,1.135833351597591,3.6833428840346634,0.0,4.3456043437832745,2.7946922895015227,9.717174363767908,11.406578062549563,11.513542198817907,18.511102013038126,5.825278219321656
madame raquin,0.8769248114463964,1.8867895728387418,4.3456043437832745,0.0,24.669824616805876,30.614041658559298,14.914777356134383,17.201369664297335,13.39171990567929,151.20801744183225
raquin,0.8815295288732534,6.613127433497769,2.7946922895015227,24.669824616805876,0.0,131.3453416745805,29.824302783906568,57.86923669789273,67.83634605003932,84.71408505383283
michaud,2.0789589474622185,2.711265164243643,9.717174363767908,30.614041658559298,131.3453416745805,0.0,99.45536504316762,15.459576971590701,31.613346932181116,302.68970876239246
grivet,3.623653267839414,3.962677211215246,11.406578062549563,14.914777356134383,29.824302783906568,99.45536504316762,0.0,56.41108967269857,81.59338191617925,262.1123889445924
olivier,3.8945954330736843,4.646232816032305,11.513542198817907,17.201369664297335,57.86923669789273,15.459576971590701,56.41108967269857,0.0,40.36278182802219,262.2301405351942
suzanne,2.5427387109509993,6.224176547495598,18.511102013038126,13.39171990567929,67.83634605003932,31.613346932181116,81.59338191617925,40.36278182802219,0.0,249.99542966421873
francois,12.879025490891088,7.585770304768234,5.825278219321656,151.20801744183225,84.71408505383283,302.68970876239246,262.1123889445924,262.2301405351942,249.99542966421873,0.0
