,therese,laurent,camille,madame raquin,raquin,michaud,grivet,olivier,suzanne,francois
therese,0.0,8.64678703586614,1.9719132556253747,1.7334204940102778,1.7066590114383586,4.252546311129007,7.542667666240069,8.27005061697299,5.717846271720779,32.46080624825316
laurent,8.64678703586614,0.0,6.168630194724404,3.610397250546572,11.954740275413927,5.4857746668214125,8.116037189248592,9.711516781572112,14.065485984586601,18.23495422699662
camille,1.9719132556253747,6.168630194724404,0.0,8.827443160773571,5.660540250923543,20.38226457599752,24.78227340717605,25.15965053263657,42.49732011357577,14.820987234137455
madame raquin,1.7334204940102778,3.610397250546572,8.827443160773571,0.0,47.75294023817002,64.14507433856677,31.66213928741335,37.31983915255802,31.014588515549832,384.68664480919836
raquin,1.7066590114383586,11.954740275413927,5.660540250923543,47.75294023817002,0.0,278.17509320639226,63.07861742578939,123.82527621405791,152.03154289656794,212.93498570755304
michaud,4.252546311129007,5.4857746668214125,20.38226457599752,64.14507433856677,278.17509320639226,0.0,210.84953185801766,33.805085394409254,74.10069274550061,772.4579691807829
grivet,7.542667666240069,8.116037189248592,24.78227340717605,31.66213928741335,63.07861742578939,210.84953185801766,0.0,122.61138038688667,186.57053343173774,670.0172311224757
olivier,8.27005061697299,9.711516781572112,25.15965053263657,37.31983915255802,123.82527621405791,33.805085394409254,122.61138038688667,0.0,94.21891573470768,663.7478902410394
suzanne,5.717846271720779,14.065485984586601,42.49732011357577,31.014588515549832,152.03154289656794,74.10069274550061,186.57053343173774,94.21891573470768,0.0,626.4612297692404
francois,32.46080624825316,18.23495422699662,14.820987234137455,384.68664480919836,212.93498570755304,772.4579691807829,670.0172311224757,663.7478902410394,626.4612297692404,0.0
