,marc,simon,louise,geneviève,gorgias,david,mignot,crabot,delbos,philibin
marc,0.0,2.465709245407653,2.440725102703284,1.4912287460461886,11.084503659781461,5.010596403937907,2.2151765113982953,7.685892305314748,8.175992944324317,9.629065206372312
simon,2.465709245407653,0.0,61.74495478478173,61.35632740533148,24.008315584814056,9.290511292810194,23.700672137235816,17.366487132798408,8.132673161750827,18.139140082880843
louise,2.440725102703284,61.74495478478173,0.0,152.69408013124385,157.44049141768437,244.33247367526258,250.541908967391,214.41103342679818,250.32252707978623,407.5093195299582
geneviève,1.4912287460461886,61.35632740533148,152.69408013124385,0.0,233.95060660964637,190.05628950666073,104.41696314219243,150.75683220151632,268.3413811407001,190.30654530885303
gorgias,11.084503659781461,24.008315584814056,157.44049141768437,233.95060660964637,0.0,752.7654793809463,651.3413641324249,220.77817312775292,155.8283816151554,853.9747068265019
david,5.010596403937907,9.290511292810194,244.33247367526258,190.05628950666073,752.7654793809463,0.0,265.3095000667162,84.91604721360027,217.36705670861295,159.2017550042064
mignot,2.2151765113982953,23.700672137235816,250.541908967391,104.41696314219243,651.3413641324249,265.3095000667162,0.0,345.1617127347679,494.3608417279662,345.4060145312819
crabot,7.685892305314748,17.366487132798408,214.41103342679818,150.75683220151632,220.77817312775292,84.91604721360027,345.1617127347679,0.0,377.08079447098277,603.7185746821712
delbos,8.175992944324317,8.132673161750827,250.32252707978623,268.3413811407001,155.8283816151554,217.36705670861295,494.3608417279662,377.08079447098277,0.0,1385.8384015178292
philibin,9.629065206372312,18.139140082880843,407.5093195299582,190.30654530885303,853.9747068265019,159.2017550042064,345.4060145312819,603.7185746821712,1385.8384015178292,0.0
