,aglaya,lebedeff,rogojin,hippolyte,nastasia philipovna,epanchin,colia,lizabetha prokofievna,evgenie pavlovitch,nastasia
aglaya,0.0,89.20951247121793,80.10504978377534,36.95864959728348,93.61569473114189,30.72175440651389,35.5972799140656,27.58215083298168,26.496300227372547,65.98418457708969
lebedeff,89.20951247121793,0.0,64.49503864267132,18.442707528481016,119.9826667475416,81.39423946884908,28.061110146561976,41.075007934862555,52.52628867267918,98.04829914912173
rogojin,80.10504978377534,64.49503864267132,0.0,129.63291453963615,55.55835644307751,83.75894155364726,74.94501912318061,189.51169033537533,151.04533583028072,29.48758376710788
hippolyte,36.95864959728348,18.442707528481016,129.63291453963615,0.0,351.21186812349015,375.79779969954916,121.47585091822283,67.23205129902091,49.869134442832554,309.44119349881134
nastasia philipovna,93.61569473114189,119.9826667475416,55.55835644307751,351.21186812349015,0.0,126.9962170008703,208.43021191583995,328.1411733791954,329.76458991448266,30.164434126361982
epanchin,30.72175440651389,81.39423946884908,83.75894155364726,375.79779969954916,126.9962170008703,0.0,232.63022643681168,332.518583536495,378.24410078836684,220.12901183066083
colia,35.5972799140656,28.061110146561976,74.94501912318061,121.47585091822283,208.43021191583995,232.63022643681168,0.0,151.0948796420357,234.8894723235975,204.47218432493713
lizabetha prokofievna,27.58215083298168,41.075007934862555,189.51169033537533,67.23205129902091,328.1411733791954,332.518583536495,151.0948796420357,0.0,92.78826655362793,354.567032970362
evgenie pavlovitch,26.496300227372547,52.52628867267918,151.04533583028072,49.869134442832554,329.76458991448266,378.24410078836684,234.8894723235975,92.78826655362793,0.0,384.89861055466037
nastasia,65.98418457708969,98.04829914912173,29.48758376710788,309.44119349881134,30.164434126361982,220.12901183066083,204.47218432493713,354.567032970362,384.89861055466037,0.0
