,zverkov,simonov,liza,ferfitchkin,trudolyubov,anton antonitch,heine,olympia,stenka razins,shakespeare
zverkov,0.0,13.334888603389217,169.20052504601406,1.6736298673124437,1.5462149178203082,63.56216469525491,1065.9106749921032,3.145589083707244,2748.076489571439,9.60513967706737
simonov,13.334888603389217,0.0,160.88873844853268,6.878071164931612,4.6727361969870564,40.519208073140916,996.5776664942161,28.66622548832261,2644.060589963742,61.769048600219634
liza,169.20052504601406,160.88873844853268,0.0,219.1429020734763,233.6467521120965,533.3632214476996,2555.9599478656887,476.0165797705601,4828.832315316809,798.4918397975774
ferfitchkin,1.6736298673124437,6.878071164931612,219.1429020734763,0.0,2.967858099228616,162.94907855590037,1181.063838626203,21.962599531296767,2898.1229306128876,52.175791555722505
trudolyubov,1.5462149178203082,4.6727361969870564,233.6467521120965,2.967858099228616,0.0,175.1487866794661,1174.0636229090082,20.101953878541455,2902.1121175735875,64.13070455875615
anton antonitch,63.56216469525491,40.519208073140916,533.3632214476996,162.94907855590037,175.1487866794661,0.0,785.7765506635033,585.7792848111108,2245.823150993187,696.9564693885027
heine,1065.9106749921032,996.5776664942161,2555.9599478656887,1181.063838626203,1174.0636229090082,785.7765506635033,0.0,2077.1384121966953,1217.3057104203958,2799.1446460622865
olympia,3.145589083707244,28.66622548832261,476.0165797705601,21.962599531296767,20.101953878541455,585.7792848111108,2077.1384121966953,0.0,4189.757602088572,163.90641680168596
stenka razins,2748.076489571439,2644.060589963742,4828.832315316809,2898.1229306128876,2902.1121175735875,2245.823150993187,1217.3057104203958,4189.757602088572,0.0,4024.1142940502477
shakespeare,9.60513967706737,61.769048600219634,798.4918397975774,52.175791555722505,64.13070455875615,696.9564693885027,2799.1446460622865,163.90641680168596,4024.1142940502477,0.0
