,barbara,makar alexievitch,pokrovski,barbara alexievna,thedora,makar dievushkin,anna thedorovna,bwikov,rataziaev,anna
barbara,0.0,53.034302666805644,299.9102187964312,47.43522356085511,40.80077346681677,29.44792669315923,189.73115970878217,294.9560579886963,16.736785537888963,443.82044371572414
makar alexievitch,53.034302666805644,0.0,321.37192066815635,25.70134055969472,16.459292969385572,8.303122336555642,152.43243936099591,127.55632270716455,78.86281366346768,366.6484400186797
pokrovski,299.9102187964312,321.37192066815635,0.0,575.7645547708745,825.6018020546884,835.6811042521847,213.63776519402288,1050.0682938223147,783.4551000415915,94.42870299363128
barbara alexievna,47.43522356085511,25.70134055969472,575.7645547708745,0.0,107.73442269914477,36.38663250436269,294.47931148156994,312.79963789035247,235.16820338216647,588.6244035279468
thedora,40.80077346681677,16.459292969385572,825.6018020546884,107.73442269914477,0.0,46.38327007111565,465.6290076891037,311.661567822001,312.1131361020444,997.7868680105883
makar dievushkin,29.44792669315923,8.303122336555642,835.6811042521847,36.38663250436269,46.38327007111565,0.0,511.5896122819818,334.3031012272552,361.06186880553923,970.8802003780572
anna thedorovna,189.73115970878217,152.43243936099591,213.63776519402288,294.47931148156994,465.6290076891037,511.5896122819818,0.0,857.724656037465,409.18551130533785,333.49125628538263
bwikov,294.9560579886963,127.55632270716455,1050.0682938223147,312.79963789035247,311.661567822001,334.3031012272552,857.724656037465,0.0,744.3893649029372,1534.17316061982
rataziaev,16.736785537888963,78.86281366346768,783.4551000415915,235.16820338216647,312.1131361020444,361.06186880553923,409.18551130533785,744.3893649029372,0.0,1123.3375940327426
anna,443.82044371572414,366.6484400186797,94.42870299363128,588.6244035279468,997.7868680105883,970.8802003780572,333.49125628538263,1534.17316061982,1123.3375940327426,0.0
