,barbara,makar alexievitch,pokrovski,barbara alexievna,thedora,makar dievushkin,anna thedorovna,bwikov,rataziaev,anna
barbara,0.0,25.91036649684405,146.70386201557253,21.79387348650491,18.204339702232346,12.934900021093444,87.87225392269956,127.62793647037297,7.079409632719642,216.52074607205367
makar alexievitch,25.91036649684405,0.0,156.40613658341616,12.208729902746212,7.190209948031243,3.6700591560825417,70.56507393519863,55.699614064410696,34.19351103918767,177.37124897126316
pokrovski,146.70386201557253,156.40613658341616,0.0,267.2075275540677,372.30109659126475,373.2578864931854,95.29025056947789,452.28513263193577,344.4676692763987,44.87872335367752
barbara alexievna,21.79387348650491,12.208729902746212,267.2075275540677,0.0,48.27745425820222,16.654949855681735,133.27606177570192,133.6500200765448,101.18713012206902,274.74950389705873
thedora,18.204339702232346,7.190209948031243,372.30109659126475,48.27745425820222,0.0,20.626014650626583,209.11994778572887,134.54845736264917,132.7167125991247,447.548763804111
makar dievushkin,12.934900021093444,3.6700591560825417,373.2578864931854,16.654949855681735,20.626014650626583,0.0,227.63658159224732,144.7289625073803,152.60995479987437,433.2056276740168
anna thedorovna,87.87225392269956,70.56507393519863,95.29025056947789,133.27606177570192,209.11994778572887,227.63658159224732,0.0,370.88655367735936,181.21132314432057,153.04556147150518
bwikov,127.62793647037297,55.699614064410696,452.28513263193577,133.6500200765448,134.54845736264917,144.7289625073803,370.88655367735936,0.0,316.37663133019623,667.3101177528813
rataziaev,7.079409632719642,34.19351103918767,344.4676692763987,101.18713012206902,132.7167125991247,152.60995479987437,181.21132314432057,316.37663133019623,0.0,502.0007470107311
anna,216.52074607205367,177.37124897126316,44.87872335367752,274.74950389705873,447.548763804111,433.2056276740168,153.04556147150518,667.3101177528813,502.0007470107311,0.0
