,alyosha,mitya,ivan,smerdyakov,fyodor pavlovitch,grushenka,katerina ivanovna,dmitri,rakitin,dmitri fyodorovitch
alyosha,0.0,24.61494675731512,4.863869358759175,9.700985640769046,8.41600548753151,13.399740041178987,1.3231368701637238,0.9385931144196622,1.4395325456247878,26.196313475950948
mitya,24.61494675731512,0.0,43.54979001390068,18.102615782984333,82.54977835083236,4.536161345444759,40.297916995280765,101.27327421556117,12.825217940446128,8.247798374124251
ivan,4.863869358759175,43.54979001390068,0.0,9.124589937072253,27.61286373537997,56.86437794148904,8.717456336741952,2.943142542807859,47.88204965329523,67.67686419390185
smerdyakov,9.700985640769046,18.102615782984333,9.124589937072253,0.0,205.54040392595059,82.94697481830907,60.04673427743126,200.79585611265588,80.55054866618116,72.93505751903939
fyodor pavlovitch,8.41600548753151,82.54977835083236,27.61286373537997,205.54040392595059,0.0,143.7728128732154,54.318223245355405,33.72203177672602,82.19616839989995,71.71938262142534
grushenka,13.399740041178987,4.536161345444759,56.86437794148904,82.94697481830907,143.7728128732154,0.0,74.18377340707521,167.34776895869476,25.361975330484096,28.207265355373686
katerina ivanovna,1.3231368701637238,40.297916995280765,8.717456336741952,60.04673427743126,54.318223245355405,74.18377340707521,0.0,132.05816320852648,115.06422442287922,138.799926963143
dmitri,0.9385931144196622,101.27327421556117,2.943142542807859,200.79585611265588,33.72203177672602,167.34776895869476,132.05816320852648,0.0,207.45228141411314,194.0562992938196
rakitin,1.4395325456247878,12.825217940446128,47.88204965329523,80.55054866618116,82.19616839989995,25.361975330484096,115.06422442287922,207.45228141411314,0.0,80.09166483350569
dmitri fyodorovitch,26.196313475950948,8.247798374124251,67.67686419390185,72.93505751903939,71.71938262142534,28.207265355373686,138.799926963143,194.0562992938196,80.09166483350569,0.0
