,polina,astley,de griers,alexis ivanovitch,potapitch,blanche,martha,polina alexandrovna,marquis,baroness
polina,0.0,5.24727605101298,7.352165051753565,16.67902558736431,23.542243576449632,29.38844944255114,22.425005142890345,22.000369165945255,8.224615480549215,78.04569536874845
astley,5.24727605101298,0.0,26.349509927127396,38.19871467751341,70.8499945244908,27.110923339346648,52.52580589833466,53.46622124121809,21.644566839828745,171.83098298896755
de griers,7.352165051753565,26.349509927127396,0.0,8.475772048361497,17.94221787154075,67.08413572577086,5.530897945342536,305.93943765520214,298.5673370916837,100.49318419749049
alexis ivanovitch,16.67902558736431,38.19871467751341,8.475772048361497,0.0,33.38620820516496,291.9670304717811,9.204138838020095,470.87464529194466,593.2733876298931,312.2790533506873
potapitch,23.542243576449632,70.8499945244908,17.94221787154075,33.38620820516496,0.0,302.8274494240714,13.993918091341131,668.8946953404777,820.1024187178235,588.4880467605271
blanche,29.38844944255114,27.110923339346648,67.08413572577086,291.9670304717811,302.8274494240714,0.0,455.7879340652034,500.38298487652986,640.5401964538206,741.0416767203145
martha,22.425005142890345,52.52580589833466,5.530897945342536,9.204138838020095,13.993918091341131,455.7879340652034,0.0,776.386988217126,975.7614042718764,748.7127222316369
polina alexandrovna,22.000369165945255,53.46622124121809,305.93943765520214,470.87464529194466,668.8946953404777,500.38298487652986,776.386988217126,0.0,216.97453437545414,483.96393365588597
marquis,8.224615480549215,21.644566839828745,298.5673370916837,593.2733876298931,820.1024187178235,640.5401964538206,975.7614042718764,216.97453437545414,0.0,286.8040809364574
baroness,78.04569536874845,171.83098298896755,100.49318419749049,312.2790533506873,588.4880467605271,741.0416767203145,748.7127222316369,483.96393365588597,286.8040809364574,0.0
