,stepan trofimovitch,pyotr stepanovitch,varvara petrovna,shatov,nikolay vsyevolodovitch,kirillov,yulia mihailovna,liputin,stavrogin,liza
stepan trofimovitch,0.0,143.87592116321989,25.33675578637837,54.259135728496844,109.48201388064435,55.21015861540531,64.10067493314736,36.35757294689611,84.79427232220341,49.30702514520956
pyotr stepanovitch,143.87592116321989,0.0,221.39493953457458,49.017371971906684,146.54342839865026,10.695395019021452,36.28796937823944,62.19630332784835,25.931261947166124,81.2053971580454
varvara petrovna,25.33675578637837,221.39493953457458,0.0,155.71472044640427,82.38498391786139,243.7333615388204,283.60050628770733,127.27623457666756,239.4756673437485,74.91700801516014
shatov,54.259135728496844,49.017371971906684,155.71472044640427,0.0,156.18166341002652,32.800727252611274,142.8638338620619,49.30270846404541,105.32731879854259,54.842565597321645
nikolay vsyevolodovitch,109.48201388064435,146.54342839865026,82.38498391786139,156.18166341002652,0.0,260.78480421165494,232.4857295656195,216.9960953946271,230.12655270272518,158.51377867482978
kirillov,55.21015861540531,10.695395019021452,243.7333615388204,32.800727252611274,260.78480421165494,0.0,148.6117693568138,150.67230142471655,105.64335747661968,189.28134085984075
yulia mihailovna,64.10067493314736,36.28796937823944,283.60050628770733,142.8638338620619,232.4857295656195,148.6117693568138,0.0,269.0807061753521,95.19316418944734,234.16192859693166
liputin,36.35757294689611,62.19630332784835,127.27623457666756,49.30270846404541,216.9960953946271,150.67230142471655,269.0807061753521,0.0,226.3426072344447,83.58897781759657
stavrogin,84.79427232220341,25.931261947166124,239.4756673437485,105.32731879854259,230.12655270272518,105.64335747661968,95.19316418944734,226.3426072344447,0.0,246.775175479032
liza,49.30702514520956,81.2053971580454,74.91700801516014,54.842565597321645,158.51377867482978,189.28134085984075,234.16192859693166,83.58897781759657,246.775175479032,0.0
