,stepan trofimovitch,pyotr stepanovitch,varvara petrovna,shatov,nikolay vsyevolodovitch,kirillov,yulia mihailovna,liputin,stavrogin,liza
stepan trofimovitch,0.0,75.34934496519229,13.405558384436732,25.98990559330845,54.278677704922025,25.41358249916722,28.75148978171937,16.19569091761568,37.64769511393309,22.548864214572642
pyotr stepanovitch,75.34934496519229,0.0,114.58241189702778,24.415928028496864,72.40110651211447,5.095322586965609,16.404087983835296,30.91276609804754,12.007416505847646,39.03422862666672
varvara petrovna,13.405558384436732,114.58241189702778,0.0,76.26647608028222,41.64052821486266,115.34365465503944,131.326984885575,58.3829154756278,108.06956467532858,33.40896896543583
shatov,25.98990559330845,24.415928028496864,76.26647608028222,0.0,75.85021320769687,15.132681668073907,64.47323571554696,23.456986248670177,46.60282151081107,25.22243787436776
nikolay vsyevolodovitch,54.278677704922025,72.40110651211447,41.64052821486266,75.85021320769687,0.0,121.84636925010467,107.47188349730165,100.67328069572235,103.98317823668893,72.75209047174874
kirillov,25.41358249916722,5.095322586965609,115.34365465503944,15.132681668073907,121.84636925010467,0.0,66.94960685184202,71.9197398806112,47.32645468583529,88.1553952776176
yulia mihailovna,28.75148978171937,16.404087983835296,131.326984885575,64.47323571554696,107.47188349730165,66.94960685184202,0.0,126.4304924036436,42.98610028610133,109.22950228329363
liputin,16.19569091761568,30.91276609804754,58.3829154756278,23.456986248670177,100.67328069572235,71.9197398806112,126.4304924036436,0.0,103.9589892323516,39.70757360222782
stavrogin,37.64769511393309,12.007416505847646,108.06956467532858,46.60282151081107,103.98317823668893,47.32645468583529,42.98610028610133,103.9589892323516,0.0,114.69455921502835
liza,22.548864214572642,39.03422862666672,33.40896896543583,25.22243787436776,72.75209047174874,88.1553952776176,109.22950228329363,39.70757360222782,114.69455921502835,0.0
