,stepan trofimovitch,pyotr stepanovitch,varvara petrovna,shatov,nikolay vsyevolodovitch,kirillov,yulia mihailovna,liputin,stavrogin,liza
stepan trofimovitch,0.0,272.86088907654886,47.55863662821174,112.32110960795572,218.92360945922488,118.84200837545043,141.54131223934706,80.9611995303916,189.19245527685675,106.96391206041565
pyotr stepanovitch,272.86088907654886,0.0,424.70635819498295,97.6275184953659,293.9477490511161,22.25876233337924,79.51431827660231,124.10007038394826,55.5812751868383,167.45994457456567
varvara petrovna,47.55863662821174,424.70635819498295,0.0,315.2962866132211,161.57273176064842,510.45318889840684,606.8262462362616,275.35048244932017,525.8418540647181,166.66342935195607
shatov,112.32110960795572,97.6275184953659,315.2962866132211,0.0,318.8692721380032,70.44614369683119,313.55187696565497,102.98443871632004,235.95099923695247,118.44104899581691
nikolay vsyevolodovitch,218.92360945922488,293.9477490511161,161.57273176064842,318.8692721380032,0.0,552.9637415076678,498.0739984642491,464.04941565032965,504.6305502281993,342.52274205248597
kirillov,118.84200837545043,22.25876233337924,510.45318889840684,70.44614369683119,552.9637415076678,0.0,326.7661917036326,313.3554929404709,233.8933459977605,403.09687326894334
yulia mihailovna,141.54131223934706,79.51431827660231,606.8262462362616,313.55187696565497,498.0739984642491,326.7661917036326,0.0,568.279424094415,209.0716954399167,497.669347932407
liputin,80.9611995303916,124.10007038394826,275.35048244932017,102.98443871632004,464.04941565032965,313.3554929404709,568.279424094415,0.0,488.8095420655494,174.75674102016413
stavrogin,189.19245527685675,55.5812751868383,525.8418540647181,235.95099923695247,504.6305502281993,233.8933459977605,209.0716954399167,488.8095420655494,0.0,526.594286267794
liza,106.96391206041565,167.45994457456567,166.66342935195607,118.44104899581691,342.52274205248597,403.09687326894334,497.669347932407,174.75674102016413,526.594286267794,0.0
