,velchaninoff,pavel pavlovitch,zina,maria alexandrovna,liza,mosgliakoff,pavel,alexey ivanovitch,paul,prince
velchaninoff,0.0,1.1470413851987569,175.54431617199128,194.62444988247609,2.3541111941072845,419.84800776571063,1.7396730968334273,1.9669748183503843,689.7428672078786,749.1829933027215
pavel pavlovitch,1.1470413851987569,0.0,212.20889379654432,233.81979435497976,9.109945426445483,543.1475418302749,2.40970405534334,2.085066791667366,852.6711695412306,967.1740660179854
zina,175.54431617199128,212.20889379654432,0.0,11.592244031454864,358.6838036725174,6.243045875668005,705.334340012701,607.8476233811235,7.799600250133923,10.203334816148502
maria alexandrovna,194.62444988247609,233.81979435497976,11.592244031454864,0.0,427.09828964377095,2.847178403672945,782.3679364640268,695.0301413237519,3.4402034393369645,8.31161893828904
liza,2.3541111941072845,9.109945426445483,358.6838036725174,427.09828964377095,0.0,648.299053903905,255.93940941931652,93.70686511831786,987.332710692431,1135.8046812343937
mosgliakoff,419.84800776571063,543.1475418302749,6.243045875668005,2.847178403672945,648.299053903905,0.0,989.3510713423442,877.3460602418114,31.577407857133856,47.56721579415729
pavel,1.7396730968334273,2.40970405534334,705.334340012701,782.3679364640268,255.93940941931652,989.3510713423442,0.0,175.4668921533677,1460.4090678421958,1758.8470935371804
alexey ivanovitch,1.9669748183503843,2.085066791667366,607.8476233811235,695.0301413237519,93.70686511831786,877.3460602418114,175.4668921533677,0.0,1226.0001451355827,1384.7210835939945
paul,689.7428672078786,852.6711695412306,7.799600250133923,3.4402034393369645,987.332710692431,31.577407857133856,1460.4090678421958,1226.0001451355827,0.0,122.1115264204423
prince,749.1829933027215,967.1740660179854,10.203334816148502,8.31161893828904,1135.8046812343937,47.56721579415729,1758.8470935371804,1384.7210835939945,122.1115264204423,0.0
